DT_GERACAO;HH_GERACAO;ANO_ELEICAO;CD_TIPO_ELEICAO;NM_TIPO_ELEICAO;CD_PLEITO;DT_PLEITO;NR_TURNO;CD_ELEICAO;DS_ELEICAO;SG_UF;CD_MUNICIPIO;NM_MUNICIPIO;NR_ZONA;NR_SECAO;NR_LOCAL_VOTACAO;CD_CARGO_PERGUNTA;DS_CARGO_PERGUNTA;NR_PARTIDO;SG_PARTIDO;NM_PARTIDO;DT_BU_RECEBIDO;QT_APTOS;QT_COMPARECIMENTO;QT_ABSTENCOES;CD_TIPO_URNA;DS_TIPO_URNA;CD_TIPO_VOTAVEL;DS_TIPO_VOTAVEL;NR_VOTAVEL;NM_VOTAVEL;QT_VOTOS;NR_URNA_EFETIVADA;CD_CARGA_1_URNA_EFETIVADA;CD_CARGA_2_URNA_EFETIVADA;CD_FLASHCARD_URNA_EFETIVADA;DT_CARGA_URNA_EFETIVADA;DS_CARGO_PERGUNTA_SECAO;DS_AGREGADAS;DT_ABERTURA;DT_ENCERRAMENTO;QT_ELEITORES_BIOMETRIA_NH;DT_EMISSAO_BU;NR_JUNTA_APURADORA;NR_TURMA_APURADORA
18/11/2020;2023-07-01T15:49:53.000Z;2020;0;Eleição Ordinária;304;15/11/2020;1;426;Eleições Municipais 2020;AM;2550;MANAUS;70;779;2020;11;Prefeito;27;DC;Democracia Cristã;15/11/2020 20:45:13;351;256;95;1;APURADA;1;Nominal;27;CHICO PRETO;2;1787519;728.021.830.892.774.929.;852.764;EC3A2EBA;10/11/2020 15:28:00;11 - 779;#NULO#;15/11/2020 07:00:07;15/11/2020 17:03:23;0;15/11/2020 17:06:10;-1;-1
18/11/2020;2023-07-01T15:49:53.000Z;2020;0;Eleição Ordinária;304;15/11/2020;1;426;Eleições Municipais 2020;AM;2550;MANAUS;70;779;2020;11;Prefeito;19;PODE;Podemos;15/11/2020 20:45:13;351;256;95;1;APURADA;1;Nominal;19;AMAZONINO MENDES;50;1787519;728.021.830.892.774.929.;852.764;EC3A2EBA;10/11/2020 15:28:00;11 - 779;#NULO#;15/11/2020 07:00:07;15/11/2020 17:03:23;0;15/11/2020 17:06:10;-1;-1
18/11/2020;2023-07-01T15:49:53.000Z;2020;0;Eleição Ordinária;304;15/11/2020;1;426;Eleições Municipais 2020;AM;2550;MANAUS;70;779;2020;11;Prefeito;10;REPUBLICANOS;REPUBLICANOS;15/11/2020 20:45:13;351;256;95;1;APURADA;1;Nominal;10;CAPITÃO ALBERTO NETO;24;1787519;728.021.830.892.774.929.;852.764;EC3A2EBA;10/11/2020 15:28:00;11 - 779;#NULO#;15/11/2020 07:00:07;15/11/2020 17:03:23;0;15/11/2020 17:06:10;-1;-1
18/11/2020;2023-07-01T15:49:53.000Z;2020;0;Eleição Ordinária;304;15/11/2020;1;426;Eleições Municipais 2020;AM;2550;MANAUS;70;779;2020;11;Prefeito;51;PATRIOTA;Patriota;15/11/2020 20:45:13;351;256;95;1;APURADA;1;Nominal;51;CORONEL MENEZES;17;1787519;728.021.830.892.774.929.;852.764;EC3A2EBA;10/11/2020 15:28:00;11 - 779;#NULO#;15/11/2020 07:00:07;15/11/2020 17:03:23;0;15/11/2020 17:06:10;-1;-1
18/11/2020;2023-07-01T15:49:53.000Z;2020;0;Eleição Ordinária;304;15/11/2020;1;426;Eleições Municipais 2020;AM;2550;MANAUS;70;779;2020;11;Prefeito;55;PSD;Partido Social Democrático;15/11/2020 20:45:13;351;256;95;1;APURADA;1;Nominal;55;RICARDO NICOLAU;20;1787519;728.021.830.892.774.929.;852.764;EC3A2EBA;10/11/2020 15:28:00;11 - 779;#NULO#;15/11/2020 07:00:07;15/11/2020 17:03:23;0;15/11/2020 17:06:10;-1;-1
18/11/2020;2023-07-01T15:49:53.000Z;2020;0;Eleição Ordinária;304;15/11/2020;1;426;Eleições Municipais 2020;AM;2550;MANAUS;70;779;2020;11;Prefeito;22;PL;Partido Liberal;15/11/2020 20:45:13;351;256;95;1;APURADA;1;Nominal;22;ALFREDO NASCIMENTO;11;1787519;728.021.830.892.774.929.;852.764;EC3A2EBA;10/11/2020 15:28:00;11 - 779;#NULO#;15/11/2020 07:00:07;15/11/2020 17:03:23;0;15/11/2020 17:06:10;-1;-1
18/11/2020;2023-07-01T15:49:53.000Z;2020;0;Eleição Ordinária;304;15/11/2020;1;426;Eleições Municipais 2020;AM;2550;MANAUS;70;779;2020;11;Prefeito;13;PT;Partido dos Trabalhadores;15/11/2020 20:45:13;351;256;95;1;APURADA;1;Nominal;13;ZE RICARDO;30;1787519;728.021.830.892.774.929.;852.764;EC3A2EBA;10/11/2020 15:28:00;11 - 779;#NULO#;15/11/2020 07:00:07;15/11/2020 17:03:23;0;15/11/2020 17:06:10;-1;-1
18/11/2020;2023-07-01T15:49:53.000Z;2020;0;Eleição Ordinária;304;15/11/2020;1;426;Eleições Municipais 2020;AM;2550;MANAUS;70;779;2020;11;Prefeito;-1;#NULO#;#NULO#;15/11/2020 20:45:13;351;256;95;1;APURADA;3;Nulo;96;Nulo;19;1787519;728.021.830.892.774.929.;852.764;EC3A2EBA;10/11/2020 15:28:00;11 - 779;#NULO#;15/11/2020 07:00:07;15/11/2020 17:03:23;0;15/11/2020 17:06:10;-1;-1
18/11/2020;2023-07-01T15:49:53.000Z;2020;0;Eleição Ordinária;304;15/11/2020;1;426;Eleições Municipais 2020;AM;2550;MANAUS;70;779;2020;11;Prefeito;-1;#NULO#;#NULO#;15/11/2020 20:45:13;351;256;95;1;APURADA;2;Branco;95;Branco;17;1787519;728.021.830.892.774.929.;852.764;EC3A2EBA;10/11/2020 15:28:00;11 - 779;#NULO#;15/11/2020 07:00:07;15/11/2020 17:03:23;0;15/11/2020 17:06:10;-1;-1
18/11/2020;2023-07-01T15:49:53.000Z;2020;0;Eleição Ordinária;304;15/11/2020;1;426;Eleições Municipais 2020;AM;2550;MANAUS;70;779;2020;11;Prefeito;70;AVANTE;AVANTE;15/11/2020 20:45:13;351;256;95;1;APURADA;1;Nominal;70;DAVID ALMEIDA;62;1787519;728.021.830.892.774.929.;852.764;EC3A2EBA;10/11/2020 15:28:00;11 - 779;#NULO#;15/11/2020 07:00:07;15/11/2020 17:03:23;0;15/11/2020 17:06:10;-1;-1
