DT_GERACAO;HH_GERACAO;ANO_ELEICAO;CD_TIPO_ELEICAO;NM_TIPO_ELEICAO;CD_PLEITO;DT_PLEITO;NR_TURNO;CD_ELEICAO;DS_ELEICAO;CD_MUNICIPIO;NM_MUNICIPIO;NR_ZONA;NR_SECAO;NR_LOCAL_VOTACAO;CD_CARGO_PERGUNTA;DS_CARGO_PERGUNTA;NR_PARTIDO;SG_PARTIDO;NM_PARTIDO;DT_BU_RECEBIDO;QT_APTOS;QT_COMPARECIMENTO;QT_ABSTENCOES;CD_TIPO_URNA;DS_TIPO_URNA;CD_TIPO_VOTAVEL;DS_TIPO_VOTAVEL;NR_VOTAVEL;NM_VOTAVEL;QT_VOTOS;NR_URNA_EFETIVADA;CD_CARGA_1_URNA_EFETIVADA;CD_CARGA_2_URNA_EFETIVADA;CD_FLASHCARD_URNA_EFETIVADA;DT_CARGA_URNA_EFETIVADA;DS_CARGO_PERGUNTA_SECAO;DS_AGREGADAS;DT_ABERTURA;DT_ENCERRAMENTO;QT_ELEITORES_BIOMETRIA_NH;DT_EMISSAO_BU;NR_JUNTA_APURADORA;NR_TURMA_APURADORA
07/12/2020;2023-07-01T15:50:27.000Z;2020;0;Eleição Ordinária;320;06/12/2020;1;445;Eleições Municipais 2020 - AP;6050;MACAPÁ;2;1;1015;11;Prefeito;16;PSTU;Partido Socialista dos Trabalhadores Unificado;06/12/2020 18:11:52;394;284;110;1;APURADA;1;Nominal;16;GIANFRANCO;1;1141914;253.447.360.489.469.522.;920.422;6EC7E351;01/12/2020 08:34:00;11 - 1;2;06/12/2020 07:00:00;06/12/2020 17:04:40;0;06/12/2020 17:06:00;-1;-1
07/12/2020;2023-07-01T15:50:27.000Z;2020;0;Eleição Ordinária;320;06/12/2020;1;445;Eleições Municipais 2020 - AP;6050;MACAPÁ;2;1;1015;11;Prefeito;-1;#NULO#;#NULO#;06/12/2020 18:11:52;394;284;110;1;APURADA;2;Branco;95;Branco;4;1141914;253.447.360.489.469.522.;920.422;6EC7E351;01/12/2020 08:34:00;11 - 1;2;06/12/2020 07:00:00;06/12/2020 17:04:40;0;06/12/2020 17:06:00;-1;-1
07/12/2020;2023-07-01T15:50:27.000Z;2020;0;Eleição Ordinária;320;06/12/2020;1;445;Eleições Municipais 2020 - AP;6050;MACAPÁ;2;1;1015;11;Prefeito;50;PSOL;Partido Socialismo e Liberdade;06/12/2020 18:11:52;394;284;110;1;APURADA;1;Nominal;50;PAULO LEMOS;13;1141914;253.447.360.489.469.522.;920.422;6EC7E351;01/12/2020 08:34:00;11 - 1;2;06/12/2020 07:00:00;06/12/2020 17:04:40;0;06/12/2020 17:06:00;-1;-1
07/12/2020;2023-07-01T15:50:27.000Z;2020;0;Eleição Ordinária;320;06/12/2020;1;445;Eleições Municipais 2020 - AP;6050;MACAPÁ;2;1;1015;11;Prefeito;28;PRTB;Partido Renovador Trabalhista Brasileiro;06/12/2020 18:11:52;394;284;110;1;APURADA;1;Nominal;28;CIRILO FERNANDES;22;1141914;253.447.360.489.469.522.;920.422;6EC7E351;01/12/2020 08:34:00;11 - 1;2;06/12/2020 07:00:00;06/12/2020 17:04:40;0;06/12/2020 17:06:00;-1;-1
07/12/2020;2023-07-01T15:50:27.000Z;2020;0;Eleição Ordinária;320;06/12/2020;1;445;Eleições Municipais 2020 - AP;6050;MACAPÁ;2;1;1015;11;Prefeito;13;PT;Partido dos Trabalhadores;06/12/2020 18:11:52;394;284;110;1;APURADA;1;Nominal;13;PROFESSOR MARCOS;4;1141914;253.447.360.489.469.522.;920.422;6EC7E351;01/12/2020 08:34:00;11 - 1;2;06/12/2020 07:00:00;06/12/2020 17:04:40;0;06/12/2020 17:06:00;-1;-1
07/12/2020;2023-07-01T15:50:27.000Z;2020;0;Eleição Ordinária;320;06/12/2020;1;445;Eleições Municipais 2020 - AP;6050;MACAPÁ;2;1;1015;11;Prefeito;17;PSL;Partido Social Liberal;06/12/2020 18:11:52;394;284;110;1;APURADA;1;Nominal;17;GUARACY;8;1141914;253.447.360.489.469.522.;920.422;6EC7E351;01/12/2020 08:34:00;11 - 1;2;06/12/2020 07:00:00;06/12/2020 17:04:40;0;06/12/2020 17:06:00;-1;-1
07/12/2020;2023-07-01T15:50:27.000Z;2020;0;Eleição Ordinária;320;06/12/2020;1;445;Eleições Municipais 2020 - AP;6050;MACAPÁ;2;1;1015;11;Prefeito;25;DEM;Democratas;06/12/2020 18:11:52;394;284;110;1;APURADA;1;Nominal;25;JOSIEL;105;1141914;253.447.360.489.469.522.;920.422;6EC7E351;01/12/2020 08:34:00;11 - 1;2;06/12/2020 07:00:00;06/12/2020 17:04:40;0;06/12/2020 17:06:00;-1;-1
07/12/2020;2023-07-01T15:50:27.000Z;2020;0;Eleição Ordinária;320;06/12/2020;1;445;Eleições Municipais 2020 - AP;6050;MACAPÁ;2;1;1015;11;Prefeito;19;PODE;Podemos;06/12/2020 18:11:52;394;284;110;1;APURADA;1;Nominal;19;PATRÍCIA FERRAZ;18;1141914;253.447.360.489.469.522.;920.422;6EC7E351;01/12/2020 08:34:00;11 - 1;2;06/12/2020 07:00:00;06/12/2020 17:04:40;0;06/12/2020 17:06:00;-1;-1
07/12/2020;2023-07-01T15:50:27.000Z;2020;0;Eleição Ordinária;320;06/12/2020;1;445;Eleições Municipais 2020 - AP;6050;MACAPÁ;2;1;1015;11;Prefeito;36;PTC;Partido Trabalhista Cristão;06/12/2020 18:11:52;394;284;110;1;APURADA;1;Nominal;36;HAROLDO IRAM;2;1141914;253.447.360.489.469.522.;920.422;6EC7E351;01/12/2020 08:34:00;11 - 1;2;06/12/2020 07:00:00;06/12/2020 17:04:40;0;06/12/2020 17:06:00;-1;-1
07/12/2020;2023-07-01T15:50:27.000Z;2020;0;Eleição Ordinária;320;06/12/2020;1;445;Eleições Municipais 2020 - AP;6050;MACAPÁ;2;1;1015;11;Prefeito;-1;#NULO#;#NULO#;06/12/2020 18:11:52;394;284;110;1;APURADA;3;Nulo;96;Nulo;14;1141914;253.447.360.489.469.522.;920.422;6EC7E351;01/12/2020 08:34:00;11 - 1;2;06/12/2020 07:00:00;06/12/2020 17:04:40;0;06/12/2020 17:06:00;-1;-1
07/12/2020;2023-07-01T15:50:27.000Z;2020;0;Eleição Ordinária;320;06/12/2020;1;445;Eleições Municipais 2020 - AP;6050;MACAPÁ;2;1;1015;11;Prefeito;23;CIDADANIA;Cidadania;06/12/2020 18:11:52;394;284;110;1;APURADA;1;Nominal;23;DR FURLAN;27;1141914;253.447.360.489.469.522.;920.422;6EC7E351;01/12/2020 08:34:00;11 - 1;2;06/12/2020 07:00:00;06/12/2020 17:04:40;0;06/12/2020 17:06:00;-1;-1
07/12/2020;2023-07-01T15:50:27.000Z;2020;0;Eleição Ordinária;320;06/12/2020;1;445;Eleições Municipais 2020 - AP;6050;MACAPÁ;2;1;1015;11;Prefeito;40;PSB;Partido Socialista Brasileiro;06/12/2020 18:11:52;394;284;110;1;APURADA;1;Nominal;40;CAPI;66;1141914;253.447.360.489.469.522.;920.422;6EC7E351;01/12/2020 08:34:00;11 - 1;2;06/12/2020 07:00:00;06/12/2020 17:04:40;0;06/12/2020 17:06:00;-1;-1
07/12/2020;2023-07-01T15:50:27.000Z;2020;0;Eleição Ordinária;320;06/12/2020;1;445;Eleições Municipais 2020 - AP;6050;MACAPÁ;2;3;1015;11;Prefeito;50;PSOL;Partido Socialismo e Liberdade;06/12/2020 18:11:38;437;307;130;1;APURADA;1;Nominal;50;PAULO LEMOS;16;1182905;283.750.615.892.652.884.;310.842;6EC7E351;01/12/2020 08:45:00;11 - 3;4;06/12/2020 07:00:00;06/12/2020 17:05:05;0;06/12/2020 17:05:53;-1;-1
07/12/2020;2023-07-01T15:50:27.000Z;2020;0;Eleição Ordinária;320;06/12/2020;1;445;Eleições Municipais 2020 - AP;6050;MACAPÁ;2;3;1015;11;Prefeito;13;PT;Partido dos Trabalhadores;06/12/2020 18:11:38;437;307;130;1;APURADA;1;Nominal;13;PROFESSOR MARCOS;4;1182905;283.750.615.892.652.884.;310.842;6EC7E351;01/12/2020 08:45:00;11 - 3;4;06/12/2020 07:00:00;06/12/2020 17:05:05;0;06/12/2020 17:05:53;-1;-1
07/12/2020;2023-07-01T15:50:27.000Z;2020;0;Eleição Ordinária;320;06/12/2020;1;445;Eleições Municipais 2020 - AP;6050;MACAPÁ;2;3;1015;11;Prefeito;17;PSL;Partido Social Liberal;06/12/2020 18:11:38;437;307;130;1;APURADA;1;Nominal;17;GUARACY;17;1182905;283.750.615.892.652.884.;310.842;6EC7E351;01/12/2020 08:45:00;11 - 3;4;06/12/2020 07:00:00;06/12/2020 17:05:05;0;06/12/2020 17:05:53;-1;-1
07/12/2020;2023-07-01T15:50:27.000Z;2020;0;Eleição Ordinária;320;06/12/2020;1;445;Eleições Municipais 2020 - AP;6050;MACAPÁ;2;3;1015;11;Prefeito;36;PTC;Partido Trabalhista Cristão;06/12/2020 18:11:38;437;307;130;1;APURADA;1;Nominal;36;HAROLDO IRAM;1;1182905;283.750.615.892.652.884.;310.842;6EC7E351;01/12/2020 08:45:00;11 - 3;4;06/12/2020 07:00:00;06/12/2020 17:05:05;0;06/12/2020 17:05:53;-1;-1
07/12/2020;2023-07-01T15:50:27.000Z;2020;0;Eleição Ordinária;320;06/12/2020;1;445;Eleições Municipais 2020 - AP;6050;MACAPÁ;2;3;1015;11;Prefeito;40;PSB;Partido Socialista Brasileiro;06/12/2020 18:11:38;437;307;130;1;APURADA;1;Nominal;40;CAPI;54;1182905;283.750.615.892.652.884.;310.842;6EC7E351;01/12/2020 08:45:00;11 - 3;4;06/12/2020 07:00:00;06/12/2020 17:05:05;0;06/12/2020 17:05:53;-1;-1
07/12/2020;2023-07-01T15:50:27.000Z;2020;0;Eleição Ordinária;320;06/12/2020;1;445;Eleições Municipais 2020 - AP;6050;MACAPÁ;2;3;1015;11;Prefeito;23;CIDADANIA;Cidadania;06/12/2020 18:11:38;437;307;130;1;APURADA;1;Nominal;23;DR FURLAN;46;1182905;283.750.615.892.652.884.;310.842;6EC7E351;01/12/2020 08:45:00;11 - 3;4;06/12/2020 07:00:00;06/12/2020 17:05:05;0;06/12/2020 17:05:53;-1;-1
07/12/2020;2023-07-01T15:50:27.000Z;2020;0;Eleição Ordinária;320;06/12/2020;1;445;Eleições Municipais 2020 - AP;6050;MACAPÁ;2;3;1015;11;Prefeito;-1;#NULO#;#NULO#;06/12/2020 18:11:38;437;307;130;1;APURADA;2;Branco;95;Branco;3;1182905;283.750.615.892.652.884.;310.842;6EC7E351;01/12/2020 08:45:00;11 - 3;4;06/12/2020 07:00:00;06/12/2020 17:05:05;0;06/12/2020 17:05:53;-1;-1
07/12/2020;2023-07-01T15:50:27.000Z;2020;0;Eleição Ordinária;320;06/12/2020;1;445;Eleições Municipais 2020 - AP;6050;MACAPÁ;2;3;1015;11;Prefeito;19;PODE;Podemos;06/12/2020 18:11:38;437;307;130;1;APURADA;1;Nominal;19;PATRÍCIA FERRAZ;20;1182905;283.750.615.892.652.884.;310.842;6EC7E351;01/12/2020 08:45:00;11 - 3;4;06/12/2020 07:00:00;06/12/2020 17:05:05;0;06/12/2020 17:05:53;-1;-1
07/12/2020;2023-07-01T15:50:27.000Z;2020;0;Eleição Ordinária;320;06/12/2020;1;445;Eleições Municipais 2020 - AP;6050;MACAPÁ;2;3;1015;11;Prefeito;25;DEM;Democratas;06/12/2020 18:11:38;437;307;130;1;APURADA;1;Nominal;25;JOSIEL;117;1182905;283.750.615.892.652.884.;310.842;6EC7E351;01/12/2020 08:45:00;11 - 3;4;06/12/2020 07:00:00;06/12/2020 17:05:05;0;06/12/2020 17:05:53;-1;-1
07/12/2020;2023-07-01T15:50:27.000Z;2020;0;Eleição Ordinária;320;06/12/2020;1;445;Eleições Municipais 2020 - AP;6050;MACAPÁ;2;3;1015;11;Prefeito;-1;#NULO#;#NULO#;06/12/2020 18:11:38;437;307;130;1;APURADA;3;Nulo;96;Nulo;8;1182905;283.750.615.892.652.884.;310.842;6EC7E351;01/12/2020 08:45:00;11 - 3;4;06/12/2020 07:00:00;06/12/2020 17:05:05;0;06/12/2020 17:05:53;-1;-1
