DT_GERACAO;HH_GERACAO;ANO_ELEICAO;CD_TIPO_ELEICAO;NM_TIPO_ELEICAO;CD_PLEITO;DT_PLEITO;NR_TURNO;CD_ELEICAO;DS_ELEICAO;SG_UF;CD_MUNICIPIO;NM_MUNICIPIO;NR_ZONA;NR_SECAO;NR_LOCAL_VOTACAO;CD_CARGO_PERGUNTA;DS_CARGO_PERGUNTA;NR_PARTIDO;SG_PARTIDO;NM_PARTIDO;DT_BU_RECEBIDO;QT_APTOS;QT_COMPARECIMENTO;QT_ABSTENCOES;CD_TIPO_URNA;DS_TIPO_URNA;CD_TIPO_VOTAVEL;DS_TIPO_VOTAVEL;NR_VOTAVEL;NM_VOTAVEL;QT_VOTOS;NR_URNA_EFETIVADA;CD_CARGA_1_URNA_EFETIVADA;CD_CARGA_2_URNA_EFETIVADA;CD_FLASHCARD_URNA_EFETIVADA;DT_CARGA_URNA_EFETIVADA;DS_CARGO_PERGUNTA_SECAO;DS_AGREGADAS;DT_ABERTURA;DT_ENCERRAMENTO;QT_ELEITORES_BIOMETRIA_NH;DT_EMISSAO_BU;NR_JUNTA_APURADORA;NR_TURMA_APURADORA
18/11/2020;2023-07-01T15:49:53.000Z;2020;0;Eleição Ordinária;304;15/11/2020;1;426;Eleições Municipais 2020;AP;6017;AMAPÁ;1;1;1015;11;Prefeito;25;DEM;Democratas;15/11/2020 17:31:21;341;285;56;1;APURADA;1;Nominal;25;CARLOS SAMPAIO;173;1658148;376.548.483.816.748.426.;786.337;7E51D182;12/11/2020 12:03:00;11 - 1;#NULO#;15/11/2020 07:00:00;15/11/2020 17:05:10;0;15/11/2020 17:08:09;-1;-1
18/11/2020;2023-07-01T15:49:53.000Z;2020;0;Eleição Ordinária;304;15/11/2020;1;426;Eleições Municipais 2020;AP;6017;AMAPÁ;1;1;1015;11;Prefeito;17;PSL;Partido Social Liberal;15/11/2020 17:31:21;341;285;56;1;APURADA;1;Nominal;17;MARINELIO;15;1658148;376.548.483.816.748.426.;786.337;7E51D182;12/11/2020 12:03:00;11 - 1;#NULO#;15/11/2020 07:00:00;15/11/2020 17:05:10;0;15/11/2020 17:08:09;-1;-1
18/11/2020;2023-07-01T15:49:53.000Z;2020;0;Eleição Ordinária;304;15/11/2020;1;426;Eleições Municipais 2020;AP;6017;AMAPÁ;1;1;1015;11;Prefeito;11;PP;PROGRESSISTAS;15/11/2020 17:31:21;341;285;56;1;APURADA;1;Nominal;11;NATAN LAGE;89;1658148;376.548.483.816.748.426.;786.337;7E51D182;12/11/2020 12:03:00;11 - 1;#NULO#;15/11/2020 07:00:00;15/11/2020 17:05:10;0;15/11/2020 17:08:09;-1;-1
18/11/2020;2023-07-01T15:49:53.000Z;2020;0;Eleição Ordinária;304;15/11/2020;1;426;Eleições Municipais 2020;AP;6017;AMAPÁ;1;1;1015;11;Prefeito;-1;#NULO#;#NULO#;15/11/2020 17:31:21;341;285;56;1;APURADA;3;Nulo;96;Nulo;6;1658148;376.548.483.816.748.426.;786.337;7E51D182;12/11/2020 12:03:00;11 - 1;#NULO#;15/11/2020 07:00:00;15/11/2020 17:05:10;0;15/11/2020 17:08:09;-1;-1
18/11/2020;2023-07-01T15:49:53.000Z;2020;0;Eleição Ordinária;304;15/11/2020;1;426;Eleições Municipais 2020;AP;6017;AMAPÁ;1;1;1015;11;Prefeito;-1;#NULO#;#NULO#;15/11/2020 17:31:21;341;285;56;1;APURADA;2;Branco;95;Branco;2;1658148;376.548.483.816.748.426.;786.337;7E51D182;12/11/2020 12:03:00;11 - 1;#NULO#;15/11/2020 07:00:00;15/11/2020 17:05:10;0;15/11/2020 17:08:09;-1;-1
18/11/2020;2023-07-01T15:49:53.000Z;2020;0;Eleição Ordinária;304;15/11/2020;1;426;Eleições Municipais 2020;AP;6017;AMAPÁ;1;2;1015;11;Prefeito;-1;#NULO#;#NULO#;15/11/2020 17:33:18;351;289;62;1;APURADA;2;Branco;95;Branco;3;1655926;235.134.451.302.956.418.;882.374;7E51D182;12/11/2020 12:08:00;11 - 2;#NULO#;15/11/2020 07:00:00;15/11/2020 17:04:21;0;15/11/2020 17:06:01;-1;-1
18/11/2020;2023-07-01T15:49:53.000Z;2020;0;Eleição Ordinária;304;15/11/2020;1;426;Eleições Municipais 2020;AP;6017;AMAPÁ;1;2;1015;11;Prefeito;-1;#NULO#;#NULO#;15/11/2020 17:33:18;351;289;62;1;APURADA;3;Nulo;96;Nulo;6;1655926;235.134.451.302.956.418.;882.374;7E51D182;12/11/2020 12:08:00;11 - 2;#NULO#;15/11/2020 07:00:00;15/11/2020 17:04:21;0;15/11/2020 17:06:01;-1;-1
18/11/2020;2023-07-01T15:49:53.000Z;2020;0;Eleição Ordinária;304;15/11/2020;1;426;Eleições Municipais 2020;AP;6017;AMAPÁ;1;2;1015;11;Prefeito;25;DEM;Democratas;15/11/2020 17:33:18;351;289;62;1;APURADA;1;Nominal;25;CARLOS SAMPAIO;173;1655926;235.134.451.302.956.418.;882.374;7E51D182;12/11/2020 12:08:00;11 - 2;#NULO#;15/11/2020 07:00:00;15/11/2020 17:04:21;0;15/11/2020 17:06:01;-1;-1
18/11/2020;2023-07-01T15:49:53.000Z;2020;0;Eleição Ordinária;304;15/11/2020;1;426;Eleições Municipais 2020;AP;6017;AMAPÁ;1;2;1015;11;Prefeito;11;PP;PROGRESSISTAS;15/11/2020 17:33:18;351;289;62;1;APURADA;1;Nominal;11;NATAN LAGE;93;1655926;235.134.451.302.956.418.;882.374;7E51D182;12/11/2020 12:08:00;11 - 2;#NULO#;15/11/2020 07:00:00;15/11/2020 17:04:21;0;15/11/2020 17:06:01;-1;-1
18/11/2020;2023-07-01T15:49:53.000Z;2020;0;Eleição Ordinária;304;15/11/2020;1;426;Eleições Municipais 2020;AP;6017;AMAPÁ;1;2;1015;11;Prefeito;17;PSL;Partido Social Liberal;15/11/2020 17:33:18;351;289;62;1;APURADA;1;Nominal;17;MARINELIO;14;1655926;235.134.451.302.956.418.;882.374;7E51D182;12/11/2020 12:08:00;11 - 2;#NULO#;15/11/2020 07:00:00;15/11/2020 17:04:21;0;15/11/2020 17:06:01;-1;-1
18/11/2020;2023-07-01T15:49:53.000Z;2020;0;Eleição Ordinária;304;15/11/2020;1;426;Eleições Municipais 2020;AP;6017;AMAPÁ;1;3;1031;11;Prefeito;-1;#NULO#;#NULO#;15/11/2020 17:46:10;109;85;24;1;APURADA;3;Nulo;96;Nulo;1;1656325;517.962.849.930.060.403.;758.662;7E51D182;12/11/2020 12:23:00;11 - 3;#NULO#;15/11/2020 07:00:00;15/11/2020 17:24:29;0;15/11/2020 17:29:18;-1;-1
18/11/2020;2023-07-01T15:49:53.000Z;2020;0;Eleição Ordinária;304;15/11/2020;1;426;Eleições Municipais 2020;AP;6017;AMAPÁ;1;3;1031;11;Prefeito;25;DEM;Democratas;15/11/2020 17:46:10;109;85;24;1;APURADA;1;Nominal;25;CARLOS SAMPAIO;49;1656325;517.962.849.930.060.403.;758.662;7E51D182;12/11/2020 12:23:00;11 - 3;#NULO#;15/11/2020 07:00:00;15/11/2020 17:24:29;0;15/11/2020 17:29:18;-1;-1
18/11/2020;2023-07-01T15:49:53.000Z;2020;0;Eleição Ordinária;304;15/11/2020;1;426;Eleições Municipais 2020;AP;6017;AMAPÁ;1;3;1031;11;Prefeito;11;PP;PROGRESSISTAS;15/11/2020 17:46:10;109;85;24;1;APURADA;1;Nominal;11;NATAN LAGE;34;1656325;517.962.849.930.060.403.;758.662;7E51D182;12/11/2020 12:23:00;11 - 3;#NULO#;15/11/2020 07:00:00;15/11/2020 17:24:29;0;15/11/2020 17:29:18;-1;-1
18/11/2020;2023-07-01T15:49:53.000Z;2020;0;Eleição Ordinária;304;15/11/2020;1;426;Eleições Municipais 2020;AP;6017;AMAPÁ;1;3;1031;11;Prefeito;17;PSL;Partido Social Liberal;15/11/2020 17:46:10;109;85;24;1;APURADA;1;Nominal;17;MARINELIO;1;1656325;517.962.849.930.060.403.;758.662;7E51D182;12/11/2020 12:23:00;11 - 3;#NULO#;15/11/2020 07:00:00;15/11/2020 17:24:29;0;15/11/2020 17:29:18;-1;-1
18/11/2020;2023-07-01T15:49:53.000Z;2020;0;Eleição Ordinária;304;15/11/2020;1;426;Eleições Municipais 2020;AP;6009;PRACUÚBA;1;4;1040;11;Prefeito;90;PROS;Partido Republicano da Ordem Social;15/11/2020 17:11:08;62;52;10;1;APURADA;1;Nominal;90;BELI;14;1655667;407.551.846.279.885.363.;603.660;21411FFA;12/11/2020 09:35:00;11 - 4;#NULO#;15/11/2020 07:04:02;15/11/2020 17:01:35;0;15/11/2020 17:02:20;-1;-1
18/11/2020;2023-07-01T15:49:53.000Z;2020;0;Eleição Ordinária;304;15/11/2020;1;426;Eleições Municipais 2020;AP;6009;PRACUÚBA;1;4;1040;11;Prefeito;10;REPUBLICANOS;REPUBLICANOS;15/11/2020 17:11:08;62;52;10;1;APURADA;1;Nominal;10;JUNIOR LEITE;5;1655667;407.551.846.279.885.363.;603.660;21411FFA;12/11/2020 09:35:00;11 - 4;#NULO#;15/11/2020 07:04:02;15/11/2020 17:01:35;0;15/11/2020 17:02:20;-1;-1
18/11/2020;2023-07-01T15:49:53.000Z;2020;0;Eleição Ordinária;304;15/11/2020;1;426;Eleições Municipais 2020;AP;6009;PRACUÚBA;1;4;1040;11;Prefeito;17;PSL;Partido Social Liberal;15/11/2020 17:11:08;62;52;10;1;APURADA;1;Nominal;17;PR MIQUÉIAS;2;1655667;407.551.846.279.885.363.;603.660;21411FFA;12/11/2020 09:35:00;11 - 4;#NULO#;15/11/2020 07:04:02;15/11/2020 17:01:35;0;15/11/2020 17:02:20;-1;-1
18/11/2020;2023-07-01T15:49:53.000Z;2020;0;Eleição Ordinária;304;15/11/2020;1;426;Eleições Municipais 2020;AP;6009;PRACUÚBA;1;4;1040;11;Prefeito;12;PDT;Partido Democrático Trabalhista;15/11/2020 17:11:08;62;52;10;1;APURADA;1;Nominal;12;ROBERTO MOURA;31;1655667;407.551.846.279.885.363.;603.660;21411FFA;12/11/2020 09:35:00;11 - 4;#NULO#;15/11/2020 07:04:02;15/11/2020 17:01:35;0;15/11/2020 17:02:20;-1;-1
18/11/2020;2023-07-01T15:49:53.000Z;2020;0;Eleição Ordinária;304;15/11/2020;1;426;Eleições Municipais 2020;AP;6017;AMAPÁ;1;8;1074;11;Prefeito;-1;#NULO#;#NULO#;15/11/2020 17:10:56;216;178;38;1;APURADA;3;Nulo;96;Nulo;7;1657267;043.215.921.683.472.494.;851.870;7E51D182;12/11/2020 12:30:00;11 - 8;#NULO#;15/11/2020 07:00:00;15/11/2020 17:01:10;0;15/11/2020 17:01:25;-1;-1
18/11/2020;2023-07-01T15:49:53.000Z;2020;0;Eleição Ordinária;304;15/11/2020;1;426;Eleições Municipais 2020;AP;6017;AMAPÁ;1;8;1074;11;Prefeito;11;PP;PROGRESSISTAS;15/11/2020 17:10:56;216;178;38;1;APURADA;1;Nominal;11;NATAN LAGE;58;1657267;043.215.921.683.472.494.;851.870;7E51D182;12/11/2020 12:30:00;11 - 8;#NULO#;15/11/2020 07:00:00;15/11/2020 17:01:10;0;15/11/2020 17:01:25;-1;-1
18/11/2020;2023-07-01T15:49:53.000Z;2020;0;Eleição Ordinária;304;15/11/2020;1;426;Eleições Municipais 2020;AP;6017;AMAPÁ;1;8;1074;11;Prefeito;25;DEM;Democratas;15/11/2020 17:10:56;216;178;38;1;APURADA;1;Nominal;25;CARLOS SAMPAIO;113;1657267;043.215.921.683.472.494.;851.870;7E51D182;12/11/2020 12:30:00;11 - 8;#NULO#;15/11/2020 07:00:00;15/11/2020 17:01:10;0;15/11/2020 17:01:25;-1;-1
18/11/2020;2023-07-01T15:49:53.000Z;2020;0;Eleição Ordinária;304;15/11/2020;1;426;Eleições Municipais 2020;AP;6017;AMAPÁ;1;12;1104;11;Prefeito;17;PSL;Partido Social Liberal;15/11/2020 17:46:16;362;300;62;1;APURADA;1;Nominal;17;MARINELIO;15;1654484;124.023.410.691.905.748.;173.564;7E51D182;12/11/2020 12:35:00;11 - 12;#NULO#;15/11/2020 07:00:00;15/11/2020 17:00:33;0;15/11/2020 17:03:06;-1;-1
18/11/2020;2023-07-01T15:49:53.000Z;2020;0;Eleição Ordinária;304;15/11/2020;1;426;Eleições Municipais 2020;AP;6017;AMAPÁ;1;12;1104;11;Prefeito;-1;#NULO#;#NULO#;15/11/2020 17:46:16;362;300;62;1;APURADA;2;Branco;95;Branco;3;1654484;124.023.410.691.905.748.;173.564;7E51D182;12/11/2020 12:35:00;11 - 12;#NULO#;15/11/2020 07:00:00;15/11/2020 17:00:33;0;15/11/2020 17:03:06;-1;-1
