DT_GERACAO;HH_GERACAO;ANO_ELEICAO;CD_TIPO_ELEICAO;NM_TIPO_ELEICAO;CD_PLEITO;DT_PLEITO;NR_TURNO;CD_ELEICAO;DS_ELEICAO;SG_UF;CD_MUNICIPIO;NM_MUNICIPIO;NR_ZONA;NR_SECAO;NR_LOCAL_VOTACAO;CD_CARGO_PERGUNTA;DS_CARGO_PERGUNTA;NR_PARTIDO;SG_PARTIDO;NM_PARTIDO;DT_BU_RECEBIDO;QT_APTOS;QT_COMPARECIMENTO;QT_ABSTENCOES;CD_TIPO_URNA;DS_TIPO_URNA;CD_TIPO_VOTAVEL;DS_TIPO_VOTAVEL;NR_VOTAVEL;NM_VOTAVEL;QT_VOTOS;NR_URNA_EFETIVADA;CD_CARGA_1_URNA_EFETIVADA;CD_CARGA_2_URNA_EFETIVADA;CD_FLASHCARD_URNA_EFETIVADA;DT_CARGA_URNA_EFETIVADA;DS_CARGO_PERGUNTA_SECAO;DS_AGREGADAS;DT_ABERTURA;DT_ENCERRAMENTO;QT_ELEITORES_BIOMETRIA_NH;DT_EMISSAO_BU;NR_JUNTA_APURADORA;NR_TURMA_APURADORA
18/11/2020;2023-07-01T15:49:53.000Z;2020;0;Eleição Ordinária;304;15/11/2020;1;426;Eleições Municipais 2020;BA;30058;EUNÁPOLIS;203;164;1244;11;Prefeito;51;PATRIOTA;Patriota;15/11/2020 21:12:48;475;405;70;1;APURADA;1;Nominal;51;GEOVALDO MIRANDA;4;1080083;410.192.365.364.216.707.;034.719;BBA5EA53;06/11/2020 09:36:00;11 - 164;#NULO#;15/11/2020 07:04:36;15/11/2020 17:09:59;0;15/11/2020 17:13:10;-1;-1
18/11/2020;2023-07-01T15:49:53.000Z;2020;0;Eleição Ordinária;304;15/11/2020;1;426;Eleições Municipais 2020;BA;30058;EUNÁPOLIS;203;164;1244;11;Prefeito;25;DEM;Democratas;15/11/2020 21:12:48;475;405;70;1;APURADA;1;Nominal;25;CORDÉLIA  TORRES;152;1080083;410.192.365.364.216.707.;034.719;BBA5EA53;06/11/2020 09:36:00;11 - 164;#NULO#;15/11/2020 07:04:36;15/11/2020 17:09:59;0;15/11/2020 17:13:10;-1;-1
18/11/2020;2023-07-01T15:49:53.000Z;2020;0;Eleição Ordinária;304;15/11/2020;1;426;Eleições Municipais 2020;BA;30058;EUNÁPOLIS;203;164;1244;11;Prefeito;55;PSD;Partido Social Democrático;15/11/2020 21:12:48;475;405;70;1;APURADA;1;Nominal;55;ROBERIO OLIVEIRA;147;1080083;410.192.365.364.216.707.;034.719;BBA5EA53;06/11/2020 09:36:00;11 - 164;#NULO#;15/11/2020 07:04:36;15/11/2020 17:09:59;0;15/11/2020 17:13:10;-1;-1
18/11/2020;2023-07-01T15:49:53.000Z;2020;0;Eleição Ordinária;304;15/11/2020;1;426;Eleições Municipais 2020;BA;30058;EUNÁPOLIS;203;164;1244;11;Prefeito;13;PT;Partido dos Trabalhadores;15/11/2020 21:12:48;475;405;70;1;APURADA;1;Nominal;13;ISAC DO PT;12;1080083;410.192.365.364.216.707.;034.719;BBA5EA53;06/11/2020 09:36:00;11 - 164;#NULO#;15/11/2020 07:04:36;15/11/2020 17:09:59;0;15/11/2020 17:13:10;-1;-1
18/11/2020;2023-07-01T15:49:53.000Z;2020;0;Eleição Ordinária;304;15/11/2020;1;426;Eleições Municipais 2020;BA;30058;EUNÁPOLIS;203;164;1244;11;Prefeito;18;REDE;Rede Sustentabilidade;15/11/2020 21:12:48;475;405;70;1;APURADA;1;Nominal;18;BEL CHECON;43;1080083;410.192.365.364.216.707.;034.719;BBA5EA53;06/11/2020 09:36:00;11 - 164;#NULO#;15/11/2020 07:04:36;15/11/2020 17:09:59;0;15/11/2020 17:13:10;-1;-1
18/11/2020;2023-07-01T15:49:53.000Z;2020;0;Eleição Ordinária;304;15/11/2020;1;426;Eleições Municipais 2020;BA;30058;EUNÁPOLIS;203;164;1244;11;Prefeito;-1;#NULO#;#NULO#;15/11/2020 21:12:48;475;405;70;1;APURADA;3;Nulo;96;Nulo;34;1080083;410.192.365.364.216.707.;034.719;BBA5EA53;06/11/2020 09:36:00;11 - 164;#NULO#;15/11/2020 07:04:36;15/11/2020 17:09:59;0;15/11/2020 17:13:10;-1;-1
18/11/2020;2023-07-01T15:49:53.000Z;2020;0;Eleição Ordinária;304;15/11/2020;1;426;Eleições Municipais 2020;BA;30058;EUNÁPOLIS;203;164;1244;11;Prefeito;-1;#NULO#;#NULO#;15/11/2020 21:12:48;475;405;70;1;APURADA;2;Branco;95;Branco;13;1080083;410.192.365.364.216.707.;034.719;BBA5EA53;06/11/2020 09:36:00;11 - 164;#NULO#;15/11/2020 07:04:36;15/11/2020 17:09:59;0;15/11/2020 17:13:10;-1;-1
18/11/2020;2023-07-01T15:49:53.000Z;2020;0;Eleição Ordinária;304;15/11/2020;1;426;Eleições Municipais 2020;BA;30058;EUNÁPOLIS;203;165;1244;11;Prefeito;51;PATRIOTA;Patriota;15/11/2020 20:48:28;474;371;103;1;APURADA;1;Nominal;51;GEOVALDO MIRANDA;3;1078022;824.233.888.005.578.249.;740.178;BBA5EA53;06/11/2020 09:44:00;11 - 165;#NULO#;15/11/2020 07:00:00;15/11/2020 17:08:57;0;15/11/2020 17:10:35;-1;-1
18/11/2020;2023-07-01T15:49:53.000Z;2020;0;Eleição Ordinária;304;15/11/2020;1;426;Eleições Municipais 2020;BA;30058;EUNÁPOLIS;203;165;1244;11;Prefeito;25;DEM;Democratas;15/11/2020 20:48:28;474;371;103;1;APURADA;1;Nominal;25;CORDÉLIA  TORRES;135;1078022;824.233.888.005.578.249.;740.178;BBA5EA53;06/11/2020 09:44:00;11 - 165;#NULO#;15/11/2020 07:00:00;15/11/2020 17:08:57;0;15/11/2020 17:10:35;-1;-1
18/11/2020;2023-07-01T15:49:53.000Z;2020;0;Eleição Ordinária;304;15/11/2020;1;426;Eleições Municipais 2020;BA;30058;EUNÁPOLIS;203;165;1244;11;Prefeito;55;PSD;Partido Social Democrático;15/11/2020 20:48:28;474;371;103;1;APURADA;1;Nominal;55;ROBERIO OLIVEIRA;142;1078022;824.233.888.005.578.249.;740.178;BBA5EA53;06/11/2020 09:44:00;11 - 165;#NULO#;15/11/2020 07:00:00;15/11/2020 17:08:57;0;15/11/2020 17:10:35;-1;-1
