DT_GERACAO;HH_GERACAO;ANO_ELEICAO;CD_TIPO_ELEICAO;NM_TIPO_ELEICAO;CD_PLEITO;DT_PLEITO;NR_TURNO;CD_ELEICAO;DS_ELEICAO;SG_UF;CD_MUNICIPIO;NM_MUNICIPIO;NR_ZONA;NR_SECAO;NR_LOCAL_VOTACAO;CD_CARGO_PERGUNTA;DS_CARGO_PERGUNTA;NR_PARTIDO;SG_PARTIDO;NM_PARTIDO;DT_BU_RECEBIDO;QT_APTOS;QT_COMPARECIMENTO;QT_ABSTENCOES;CD_TIPO_URNA;DS_TIPO_URNA;CD_TIPO_VOTAVEL;DS_TIPO_VOTAVEL;NR_VOTAVEL;NM_VOTAVEL;QT_VOTOS;NR_URNA_EFETIVADA;CD_CARGA_1_URNA_EFETIVADA;CD_CARGA_2_URNA_EFETIVADA;CD_FLASHCARD_URNA_EFETIVADA;DT_CARGA_URNA_EFETIVADA;DS_CARGO_PERGUNTA_SECAO;DS_AGREGADAS;DT_ABERTURA;DT_ENCERRAMENTO;QT_ELEITORES_BIOMETRIA_NH;DT_EMISSAO_BU;NR_JUNTA_APURADORA;NR_TURMA_APURADORA
18/11/2020;2023-07-01T15:49:53.000Z;2020;0;Eleição Ordinária;304;15/11/2020;1;426;Eleições Municipais 2020;CE;15598;SOBRAL;121;127;1481;11;Prefeito;12;PDT;Partido Democrático Trabalhista;15/11/2020 20:09:23;357;294;63;1;APURADA;1;Nominal;12;IVO GOMES;139;1631820;763.810.764.737.276.038.;020.562;7B7B037D;05/11/2020 09:07:00;11 - 127;#NULO#;15/11/2020 07:06:40;15/11/2020 17:07:02;0;15/11/2020 17:08:43;-1;-1
18/11/2020;2023-07-01T15:49:53.000Z;2020;0;Eleição Ordinária;304;15/11/2020;1;426;Eleições Municipais 2020;CE;15598;SOBRAL;121;127;1481;11;Prefeito;-1;#NULO#;#NULO#;15/11/2020 20:09:23;357;294;63;1;APURADA;2;Branco;95;Branco;10;1631820;763.810.764.737.276.038.;020.562;7B7B037D;05/11/2020 09:07:00;11 - 127;#NULO#;15/11/2020 07:06:40;15/11/2020 17:07:02;0;15/11/2020 17:08:43;-1;-1
18/11/2020;2023-07-01T15:49:53.000Z;2020;0;Eleição Ordinária;304;15/11/2020;1;426;Eleições Municipais 2020;CE;15598;SOBRAL;121;127;1481;11;Prefeito;15;MDB;Movimento Democrático Brasileiro;15/11/2020 20:09:23;357;294;63;1;APURADA;1;Nominal;15;OSCAR RODRIGUES;136;1631820;763.810.764.737.276.038.;020.562;7B7B037D;05/11/2020 09:07:00;11 - 127;#NULO#;15/11/2020 07:06:40;15/11/2020 17:07:02;0;15/11/2020 17:08:43;-1;-1
18/11/2020;2023-07-01T15:49:53.000Z;2020;0;Eleição Ordinária;304;15/11/2020;1;426;Eleições Municipais 2020;CE;15598;SOBRAL;121;127;1481;11;Prefeito;-1;#NULO#;#NULO#;15/11/2020 20:09:23;357;294;63;1;APURADA;3;Nulo;96;Nulo;9;1631820;763.810.764.737.276.038.;020.562;7B7B037D;05/11/2020 09:07:00;11 - 127;#NULO#;15/11/2020 07:06:40;15/11/2020 17:07:02;0;15/11/2020 17:08:43;-1;-1
18/11/2020;2023-07-01T15:49:53.000Z;2020;0;Eleição Ordinária;304;15/11/2020;1;426;Eleições Municipais 2020;CE;15598;SOBRAL;121;128;1481;11;Prefeito;-1;#NULO#;#NULO#;15/11/2020 20:00:08;356;305;51;1;APURADA;2;Branco;95;Branco;5;1610624;571.991.681.918.826.671.;973.025;7B7B037D;05/11/2020 09:12:00;11 - 128;#NULO#;15/11/2020 07:00:00;15/11/2020 17:06:23;0;15/11/2020 17:08:25;-1;-1
18/11/2020;2023-07-01T15:49:53.000Z;2020;0;Eleição Ordinária;304;15/11/2020;1;426;Eleições Municipais 2020;CE;15598;SOBRAL;121;128;1481;11;Prefeito;-1;#NULO#;#NULO#;15/11/2020 20:00:08;356;305;51;1;APURADA;3;Nulo;96;Nulo;16;1610624;571.991.681.918.826.671.;973.025;7B7B037D;05/11/2020 09:12:00;11 - 128;#NULO#;15/11/2020 07:00:00;15/11/2020 17:06:23;0;15/11/2020 17:08:25;-1;-1
18/11/2020;2023-07-01T15:49:53.000Z;2020;0;Eleição Ordinária;304;15/11/2020;1;426;Eleições Municipais 2020;CE;15598;SOBRAL;121;128;1481;11;Prefeito;12;PDT;Partido Democrático Trabalhista;15/11/2020 20:00:08;356;305;51;1;APURADA;1;Nominal;12;IVO GOMES;163;1610624;571.991.681.918.826.671.;973.025;7B7B037D;05/11/2020 09:12:00;11 - 128;#NULO#;15/11/2020 07:00:00;15/11/2020 17:06:23;0;15/11/2020 17:08:25;-1;-1
18/11/2020;2023-07-01T15:49:53.000Z;2020;0;Eleição Ordinária;304;15/11/2020;1;426;Eleições Municipais 2020;CE;15598;SOBRAL;121;128;1481;11;Prefeito;15;MDB;Movimento Democrático Brasileiro;15/11/2020 20:00:08;356;305;51;1;APURADA;1;Nominal;15;OSCAR RODRIGUES;121;1610624;571.991.681.918.826.671.;973.025;7B7B037D;05/11/2020 09:12:00;11 - 128;#NULO#;15/11/2020 07:00:00;15/11/2020 17:06:23;0;15/11/2020 17:08:25;-1;-1
18/11/2020;2023-07-01T15:49:53.000Z;2020;0;Eleição Ordinária;304;15/11/2020;1;426;Eleições Municipais 2020;CE;15598;SOBRAL;121;134;1503;11;Prefeito;-1;#NULO#;#NULO#;15/11/2020 21:07:56;408;331;77;1;APURADA;3;Nulo;96;Nulo;11;1611822;137.547.878.004.248.097.;572.361;8324C39A;04/11/2020 14:53:00;11 - 134;#NULO#;15/11/2020 07:00:00;15/11/2020 17:00:39;0;15/11/2020 17:02:04;-1;-1
18/11/2020;2023-07-01T15:49:53.000Z;2020;0;Eleição Ordinária;304;15/11/2020;1;426;Eleições Municipais 2020;CE;15598;SOBRAL;121;134;1503;11;Prefeito;-1;#NULO#;#NULO#;15/11/2020 21:07:56;408;331;77;1;APURADA;2;Branco;95;Branco;7;1611822;137.547.878.004.248.097.;572.361;8324C39A;04/11/2020 14:53:00;11 - 134;#NULO#;15/11/2020 07:00:00;15/11/2020 17:00:39;0;15/11/2020 17:02:04;-1;-1
