DT_GERACAO;HH_GERACAO;ANO_ELEICAO;CD_TIPO_ELEICAO;NM_TIPO_ELEICAO;CD_PLEITO;DT_PLEITO;NR_TURNO;CD_ELEICAO;DS_ELEICAO;CD_MUNICIPIO;NM_MUNICIPIO;NR_ZONA;NR_SECAO;NR_LOCAL_VOTACAO;CD_CARGO_PERGUNTA;DS_CARGO_PERGUNTA;NR_PARTIDO;SG_PARTIDO;NM_PARTIDO;DT_BU_RECEBIDO;QT_APTOS;QT_COMPARECIMENTO;QT_ABSTENCOES;CD_TIPO_URNA;DS_TIPO_URNA;CD_TIPO_VOTAVEL;DS_TIPO_VOTAVEL;NR_VOTAVEL;NM_VOTAVEL;QT_VOTOS;NR_URNA_EFETIVADA;CD_CARGA_1_URNA_EFETIVADA;CD_CARGA_2_URNA_EFETIVADA;CD_FLASHCARD_URNA_EFETIVADA;DT_CARGA_URNA_EFETIVADA;DS_CARGO_PERGUNTA_SECAO;DS_AGREGADAS;DT_ABERTURA;DT_ENCERRAMENTO;QT_ELEITORES_BIOMETRIA_NH;DT_EMISSAO_BU;NR_JUNTA_APURADORA;NR_TURMA_APURADORA
18/11/2020;2023-07-01T15:49:53.000Z;2020;0;Eleição Ordinária;304;15/11/2020;1;426;Eleições Municipais 2020;90514;CAMPO GRANDE;54;47;1058;11;Prefeito;50;PSOL;Partido Socialismo e Liberdade;15/11/2020 20:38:46;444;336;108;1;APURADA;1;Nominal;50;CRIS DUARTE;4;1615900;169.795.218.628.394.913.;241.573;26763921;01/11/2020 17:19:00;11 - 47;48;15/11/2020 07:30:16;15/11/2020 17:00:23;0;15/11/2020 17:01:57;-1;-1
18/11/2020;2023-07-01T15:49:53.000Z;2020;0;Eleição Ordinária;304;15/11/2020;1;426;Eleições Municipais 2020;90514;CAMPO GRANDE;54;47;1058;11;Prefeito;20;PSC;Partido Social Cristão;15/11/2020 20:38:46;444;336;108;1;APURADA;1;Nominal;20;PAULO MATOS;3;1615900;169.795.218.628.394.913.;241.573;26763921;01/11/2020 17:19:00;11 - 47;48;15/11/2020 07:30:16;15/11/2020 17:00:23;0;15/11/2020 17:01:57;-1;-1
18/11/2020;2023-07-01T15:49:53.000Z;2020;0;Eleição Ordinária;304;15/11/2020;1;426;Eleições Municipais 2020;90514;CAMPO GRANDE;54;47;1058;11;Prefeito;43;PV;Partido Verde;15/11/2020 20:38:46;444;336;108;1;APURADA;1;Nominal;43;MARCELO BLUMA;2;1615900;169.795.218.628.394.913.;241.573;26763921;01/11/2020 17:19:00;11 - 47;48;15/11/2020 07:30:16;15/11/2020 17:00:23;0;15/11/2020 17:01:57;-1;-1
18/11/2020;2023-07-01T15:49:53.000Z;2020;0;Eleição Ordinária;304;15/11/2020;1;426;Eleições Municipais 2020;90514;CAMPO GRANDE;54;47;1058;11;Prefeito;13;PT;Partido dos Trabalhadores;15/11/2020 20:38:46;444;336;108;1;APURADA;1;Nominal;13;PEDRO KEMP;23;1615900;169.795.218.628.394.913.;241.573;26763921;01/11/2020 17:19:00;11 - 47;48;15/11/2020 07:30:16;15/11/2020 17:00:23;0;15/11/2020 17:01:57;-1;-1
18/11/2020;2023-07-01T15:49:53.000Z;2020;0;Eleição Ordinária;304;15/11/2020;1;426;Eleições Municipais 2020;90514;CAMPO GRANDE;54;47;1058;11;Prefeito;11;PP;PROGRESSISTAS;15/11/2020 20:38:46;444;336;108;1;APURADA;1;Nominal;11;ESACHEU NASCIMENTO;13;1615900;169.795.218.628.394.913.;241.573;26763921;01/11/2020 17:19:00;11 - 47;48;15/11/2020 07:30:16;15/11/2020 17:00:23;0;15/11/2020 17:01:57;-1;-1
18/11/2020;2023-07-01T15:49:53.000Z;2020;0;Eleição Ordinária;304;15/11/2020;1;426;Eleições Municipais 2020;90514;CAMPO GRANDE;54;47;1058;11;Prefeito;-1;#NULO#;#NULO#;15/11/2020 20:38:46;444;336;108;1;APURADA;2;Branco;95;Branco;6;1615900;169.795.218.628.394.913.;241.573;26763921;01/11/2020 17:19:00;11 - 47;48;15/11/2020 07:30:16;15/11/2020 17:00:23;0;15/11/2020 17:01:57;-1;-1
18/11/2020;2023-07-01T15:49:53.000Z;2020;0;Eleição Ordinária;304;15/11/2020;1;426;Eleições Municipais 2020;90514;CAMPO GRANDE;54;47;1058;11;Prefeito;19;PODE;Podemos;15/11/2020 20:38:46;444;336;108;1;APURADA;1;Nominal;19;DELEGADA SIDNÉIA TOBIAS;8;1615900;169.795.218.628.394.913.;241.573;26763921;01/11/2020 17:19:00;11 - 47;48;15/11/2020 07:30:16;15/11/2020 17:00:23;0;15/11/2020 17:01:57;-1;-1
18/11/2020;2023-07-01T15:49:53.000Z;2020;0;Eleição Ordinária;304;15/11/2020;1;426;Eleições Municipais 2020;90514;CAMPO GRANDE;54;47;1058;11;Prefeito;17;PSL;Partido Social Liberal;15/11/2020 20:38:46;444;336;108;1;APURADA;1;Nominal;17;VINICIUS SIQUEIRA;40;1615900;169.795.218.628.394.913.;241.573;26763921;01/11/2020 17:19:00;11 - 47;48;15/11/2020 07:30:16;15/11/2020 17:00:23;0;15/11/2020 17:01:57;-1;-1
18/11/2020;2023-07-01T15:49:53.000Z;2020;0;Eleição Ordinária;304;15/11/2020;1;426;Eleições Municipais 2020;90514;CAMPO GRANDE;54;47;1058;11;Prefeito;55;PSD;Partido Social Democrático;15/11/2020 20:38:46;444;336;108;1;APURADA;1;Nominal;55;MARQUINHOS TRAD;151;1615900;169.795.218.628.394.913.;241.573;26763921;01/11/2020 17:19:00;11 - 47;48;15/11/2020 07:30:16;15/11/2020 17:00:23;0;15/11/2020 17:01:57;-1;-1
18/11/2020;2023-07-01T15:49:53.000Z;2020;0;Eleição Ordinária;304;15/11/2020;1;426;Eleições Municipais 2020;90514;CAMPO GRANDE;54;47;1058;11;Prefeito;-1;#NULO#;#NULO#;15/11/2020 20:38:46;444;336;108;1;APURADA;3;Nulo;96;Nulo;15;1615900;169.795.218.628.394.913.;241.573;26763921;01/11/2020 17:19:00;11 - 47;48;15/11/2020 07:30:16;15/11/2020 17:00:23;0;15/11/2020 17:01:57;-1;-1
