DT_GERACAO;HH_GERACAO;ANO_ELEICAO;CD_TIPO_ELEICAO;NM_TIPO_ELEICAO;CD_PLEITO;DT_PLEITO;NR_TURNO;CD_ELEICAO;DS_ELEICAO;CD_MUNICIPIO;NM_MUNICIPIO;NR_ZONA;NR_SECAO;NR_LOCAL_VOTACAO;CD_CARGO_PERGUNTA;DS_CARGO_PERGUNTA;NR_PARTIDO;SG_PARTIDO;NM_PARTIDO;DT_BU_RECEBIDO;QT_APTOS;QT_COMPARECIMENTO;QT_ABSTENCOES;CD_TIPO_URNA;DS_TIPO_URNA;CD_TIPO_VOTAVEL;DS_TIPO_VOTAVEL;NR_VOTAVEL;NM_VOTAVEL;QT_VOTOS;NR_URNA_EFETIVADA;CD_CARGA_1_URNA_EFETIVADA;CD_CARGA_2_URNA_EFETIVADA;CD_FLASHCARD_URNA_EFETIVADA;DT_CARGA_URNA_EFETIVADA;DS_CARGO_PERGUNTA_SECAO;DS_AGREGADAS;DT_ABERTURA;DT_ENCERRAMENTO;QT_ELEITORES_BIOMETRIA_NH;DT_EMISSAO_BU;NR_JUNTA_APURADORA;NR_TURMA_APURADORA
18/11/2020;2023-07-01T15:49:53.000Z;2020;0;Eleição Ordinária;304;15/11/2020;1;426;Eleições Municipais 2020;90387;NOVA BANDEIRANTES;50;159;1040;11;Prefeito;40;PSB;Partido Socialista Brasileiro;15/11/2020 20:02:21;285;199;86;1;APURADA;1;Nominal;40;VALDIR RIO BRANCO;92;1763888;461.781.891.373.372.436.;628.507;DE0E8B50;04/11/2020 10:39:00;11 - 159;#NULO#;15/11/2020 07:06:25;15/11/2020 17:05:51;0;15/11/2020 17:08:02;-1;-1
18/11/2020;2023-07-01T15:49:53.000Z;2020;0;Eleição Ordinária;304;15/11/2020;1;426;Eleições Municipais 2020;90387;NOVA BANDEIRANTES;50;159;1040;11;Prefeito;-1;#NULO#;#NULO#;15/11/2020 20:02:21;285;199;86;1;APURADA;2;Branco;95;Branco;8;1763888;461.781.891.373.372.436.;628.507;DE0E8B50;04/11/2020 10:39:00;11 - 159;#NULO#;15/11/2020 07:06:25;15/11/2020 17:05:51;0;15/11/2020 17:08:02;-1;-1
18/11/2020;2023-07-01T15:49:53.000Z;2020;0;Eleição Ordinária;304;15/11/2020;1;426;Eleições Municipais 2020;90387;NOVA BANDEIRANTES;50;159;1040;11;Prefeito;-1;#NULO#;#NULO#;15/11/2020 20:02:21;285;199;86;1;APURADA;3;Nulo;96;Nulo;8;1763888;461.781.891.373.372.436.;628.507;DE0E8B50;04/11/2020 10:39:00;11 - 159;#NULO#;15/11/2020 07:06:25;15/11/2020 17:05:51;0;15/11/2020 17:08:02;-1;-1
18/11/2020;2023-07-01T15:49:53.000Z;2020;0;Eleição Ordinária;304;15/11/2020;1;426;Eleições Municipais 2020;90387;NOVA BANDEIRANTES;50;159;1040;11;Prefeito;22;PL;Partido Liberal;15/11/2020 20:02:21;285;199;86;1;APURADA;1;Nominal;22;ZE GAUCHO;14;1763888;461.781.891.373.372.436.;628.507;DE0E8B50;04/11/2020 10:39:00;11 - 159;#NULO#;15/11/2020 07:06:25;15/11/2020 17:05:51;0;15/11/2020 17:08:02;-1;-1
18/11/2020;2023-07-01T15:49:53.000Z;2020;0;Eleição Ordinária;304;15/11/2020;1;426;Eleições Municipais 2020;90387;NOVA BANDEIRANTES;50;159;1040;11;Prefeito;15;MDB;Movimento Democrático Brasileiro;15/11/2020 20:02:21;285;199;86;1;APURADA;1;Nominal;15;CESAR PERIGO;69;1763888;461.781.891.373.372.436.;628.507;DE0E8B50;04/11/2020 10:39:00;11 - 159;#NULO#;15/11/2020 07:06:25;15/11/2020 17:05:51;0;15/11/2020 17:08:02;-1;-1
18/11/2020;2023-07-01T15:49:53.000Z;2020;0;Eleição Ordinária;304;15/11/2020;1;426;Eleições Municipais 2020;90387;NOVA BANDEIRANTES;50;159;1040;11;Prefeito;90;PROS;Partido Republicano da Ordem Social;15/11/2020 20:02:21;285;199;86;1;APURADA;1;Nominal;90;JEREMIAS BAIOCHO;8;1763888;461.781.891.373.372.436.;628.507;DE0E8B50;04/11/2020 10:39:00;11 - 159;#NULO#;15/11/2020 07:06:25;15/11/2020 17:05:51;0;15/11/2020 17:08:02;-1;-1
18/11/2020;2023-07-01T15:49:53.000Z;2020;0;Eleição Ordinária;304;15/11/2020;1;426;Eleições Municipais 2020;90387;NOVA BANDEIRANTES;50;160;1040;11;Prefeito;90;PROS;Partido Republicano da Ordem Social;15/11/2020 20:53:40;282;201;81;1;APURADA;1;Nominal;90;JEREMIAS BAIOCHO;9;1756627;148.549.650.841.933.375.;901.176;DE0E8B50;04/11/2020 10:46:00;11 - 160;#NULO#;15/11/2020 07:00:00;15/11/2020 17:00:20;0;15/11/2020 17:01:46;-1;-1
18/11/2020;2023-07-01T15:49:53.000Z;2020;0;Eleição Ordinária;304;15/11/2020;1;426;Eleições Municipais 2020;90387;NOVA BANDEIRANTES;50;160;1040;11;Prefeito;-1;#NULO#;#NULO#;15/11/2020 20:53:40;282;201;81;1;APURADA;3;Nulo;96;Nulo;7;1756627;148.549.650.841.933.375.;901.176;DE0E8B50;04/11/2020 10:46:00;11 - 160;#NULO#;15/11/2020 07:00:00;15/11/2020 17:00:20;0;15/11/2020 17:01:46;-1;-1
18/11/2020;2023-07-01T15:49:53.000Z;2020;0;Eleição Ordinária;304;15/11/2020;1;426;Eleições Municipais 2020;90387;NOVA BANDEIRANTES;50;160;1040;11;Prefeito;40;PSB;Partido Socialista Brasileiro;15/11/2020 20:53:40;282;201;81;1;APURADA;1;Nominal;40;VALDIR RIO BRANCO;88;1756627;148.549.650.841.933.375.;901.176;DE0E8B50;04/11/2020 10:46:00;11 - 160;#NULO#;15/11/2020 07:00:00;15/11/2020 17:00:20;0;15/11/2020 17:01:46;-1;-1
18/11/2020;2023-07-01T15:49:53.000Z;2020;0;Eleição Ordinária;304;15/11/2020;1;426;Eleições Municipais 2020;90387;NOVA BANDEIRANTES;50;160;1040;11;Prefeito;22;PL;Partido Liberal;15/11/2020 20:53:40;282;201;81;1;APURADA;1;Nominal;22;ZE GAUCHO;23;1756627;148.549.650.841.933.375.;901.176;DE0E8B50;04/11/2020 10:46:00;11 - 160;#NULO#;15/11/2020 07:00:00;15/11/2020 17:00:20;0;15/11/2020 17:01:46;-1;-1
