DT_GERACAO;HH_GERACAO;ANO_ELEICAO;CD_TIPO_ELEICAO;NM_TIPO_ELEICAO;CD_PLEITO;DT_PLEITO;NR_TURNO;CD_ELEICAO;DS_ELEICAO;SG_UF;CD_MUNICIPIO;NM_MUNICIPIO;NR_ZONA;NR_SECAO;NR_LOCAL_VOTACAO;CD_CARGO_PERGUNTA;DS_CARGO_PERGUNTA;NR_PARTIDO;SG_PARTIDO;NM_PARTIDO;DT_BU_RECEBIDO;QT_APTOS;QT_COMPARECIMENTO;QT_ABSTENCOES;CD_TIPO_URNA;DS_TIPO_URNA;CD_TIPO_VOTAVEL;DS_TIPO_VOTAVEL;NR_VOTAVEL;NM_VOTAVEL;QT_VOTOS;NR_URNA_EFETIVADA;CD_CARGA_1_URNA_EFETIVADA;CD_CARGA_2_URNA_EFETIVADA;CD_FLASHCARD_URNA_EFETIVADA;DT_CARGA_URNA_EFETIVADA;DS_CARGO_PERGUNTA_SECAO;DS_AGREGADAS;DT_ABERTURA;DT_ENCERRAMENTO;QT_ELEITORES_BIOMETRIA_NH;DT_EMISSAO_BU;NR_JUNTA_APURADORA;NR_TURMA_APURADORA
18/11/2020;2023-07-01T15:49:53.000Z;2020;0;Eleição Ordinária;304;15/11/2020;1;426;Eleições Municipais 2020;PB;20516;JOÃO PESSOA;76;236;1830;11;Prefeito;51;PATRIOTA;Patriota;15/11/2020 18:02:51;488;323;165;1;APURADA;1;Nominal;51;WALLBER VIRGOLINO;66;1796586;618.376.664.907.172.295.;007.790;5DD5BD13;03/11/2020 09:19:00;11 - 236;#NULO#;15/11/2020 07:00:00;15/11/2020 17:02:39;0;15/11/2020 17:04:18;-1;-1
18/11/2020;2023-07-01T15:49:53.000Z;2020;0;Eleição Ordinária;304;15/11/2020;1;426;Eleições Municipais 2020;PB;20516;JOÃO PESSOA;76;236;1830;11;Prefeito;50;PSOL;Partido Socialismo e Liberdade;15/11/2020 18:02:51;488;323;165;1;APURADA;1;Nominal;50;ITALO GUEDES;5;1796586;618.376.664.907.172.295.;007.790;5DD5BD13;03/11/2020 09:19:00;11 - 236;#NULO#;15/11/2020 07:00:00;15/11/2020 17:02:39;0;15/11/2020 17:04:18;-1;-1
18/11/2020;2023-07-01T15:49:53.000Z;2020;0;Eleição Ordinária;304;15/11/2020;1;426;Eleições Municipais 2020;PB;20516;JOÃO PESSOA;76;236;1830;11;Prefeito;-1;#NULO#;#NULO#;15/11/2020 18:02:51;488;323;165;1;APURADA;2;Branco;95;Branco;9;1796586;618.376.664.907.172.295.;007.790;5DD5BD13;03/11/2020 09:19:00;11 - 236;#NULO#;15/11/2020 07:00:00;15/11/2020 17:02:39;0;15/11/2020 17:04:18;-1;-1
18/11/2020;2023-07-01T15:49:53.000Z;2020;0;Eleição Ordinária;304;15/11/2020;1;426;Eleições Municipais 2020;PB;20516;JOÃO PESSOA;76;236;1830;11;Prefeito;18;REDE;Rede Sustentabilidade;15/11/2020 18:02:51;488;323;165;1;APURADA;1;Nominal;18;CARLOS MONTEIRO;3;1796586;618.376.664.907.172.295.;007.790;5DD5BD13;03/11/2020 09:19:00;11 - 236;#NULO#;15/11/2020 07:00:00;15/11/2020 17:02:39;0;15/11/2020 17:04:18;-1;-1
18/11/2020;2023-07-01T15:49:53.000Z;2020;0;Eleição Ordinária;304;15/11/2020;1;426;Eleições Municipais 2020;PB;20516;JOÃO PESSOA;76;236;1830;11;Prefeito;13;PT;Partido dos Trabalhadores;15/11/2020 18:02:51;488;323;165;1;APURADA;1;Nominal;13;ANÍSIO MAIA;10;1796586;618.376.664.907.172.295.;007.790;5DD5BD13;03/11/2020 09:19:00;11 - 236;#NULO#;15/11/2020 07:00:00;15/11/2020 17:02:39;0;15/11/2020 17:04:18;-1;-1
18/11/2020;2023-07-01T15:49:53.000Z;2020;0;Eleição Ordinária;304;15/11/2020;1;426;Eleições Municipais 2020;PB;20516;JOÃO PESSOA;76;236;1830;11;Prefeito;15;MDB;Movimento Democrático Brasileiro;15/11/2020 18:02:51;488;323;165;1;APURADA;1;Nominal;15;NILVAN FERREIRA;19;1796586;618.376.664.907.172.295.;007.790;5DD5BD13;03/11/2020 09:19:00;11 - 236;#NULO#;15/11/2020 07:00:00;15/11/2020 17:02:39;0;15/11/2020 17:04:18;-1;-1
18/11/2020;2023-07-01T15:49:53.000Z;2020;0;Eleição Ordinária;304;15/11/2020;1;426;Eleições Municipais 2020;PB;20516;JOÃO PESSOA;76;236;1830;11;Prefeito;11;PP;PROGRESSISTAS;15/11/2020 18:02:51;488;323;165;1;APURADA;1;Nominal;11;CICERO LUCENA;53;1796586;618.376.664.907.172.295.;007.790;5DD5BD13;03/11/2020 09:19:00;11 - 236;#NULO#;15/11/2020 07:00:00;15/11/2020 17:02:39;0;15/11/2020 17:04:18;-1;-1
18/11/2020;2023-07-01T15:49:53.000Z;2020;0;Eleição Ordinária;304;15/11/2020;1;426;Eleições Municipais 2020;PB;20516;JOÃO PESSOA;76;236;1830;11;Prefeito;25;DEM;Democratas;15/11/2020 18:02:51;488;323;165;1;APURADA;1;Nominal;25;RAONI;30;1796586;618.376.664.907.172.295.;007.790;5DD5BD13;03/11/2020 09:19:00;11 - 236;#NULO#;15/11/2020 07:00:00;15/11/2020 17:02:39;0;15/11/2020 17:04:18;-1;-1
18/11/2020;2023-07-01T15:49:53.000Z;2020;0;Eleição Ordinária;304;15/11/2020;1;426;Eleições Municipais 2020;PB;20516;JOÃO PESSOA;76;236;1830;11;Prefeito;77;SOLIDARIEDADE;Solidariedade;15/11/2020 18:02:51;488;323;165;1;APURADA;1;Nominal;77;JOÃO ALMEIDA;4;1796586;618.376.664.907.172.295.;007.790;5DD5BD13;03/11/2020 09:19:00;11 - 236;#NULO#;15/11/2020 07:00:00;15/11/2020 17:02:39;0;15/11/2020 17:04:18;-1;-1
18/11/2020;2023-07-01T15:49:53.000Z;2020;0;Eleição Ordinária;304;15/11/2020;1;426;Eleições Municipais 2020;PB;20516;JOÃO PESSOA;76;236;1830;11;Prefeito;40;PSB;Partido Socialista Brasileiro;15/11/2020 18:02:51;488;323;165;1;APURADA;1;Nominal;40;RICARDO COUTINHO;44;1796586;618.376.664.907.172.295.;007.790;5DD5BD13;03/11/2020 09:19:00;11 - 236;#NULO#;15/11/2020 07:00:00;15/11/2020 17:02:39;0;15/11/2020 17:04:18;-1;-1
