DT_GERACAO;HH_GERACAO;ANO_ELEICAO;CD_TIPO_ELEICAO;NM_TIPO_ELEICAO;CD_PLEITO;DT_PLEITO;NR_TURNO;CD_ELEICAO;DS_ELEICAO;SG_UF;CD_MUNICIPIO;NM_MUNICIPIO;NR_ZONA;NR_SECAO;NR_LOCAL_VOTACAO;CD_CARGO_PERGUNTA;DS_CARGO_PERGUNTA;NR_PARTIDO;SG_PARTIDO;NM_PARTIDO;DT_BU_RECEBIDO;QT_APTOS;QT_COMPARECIMENTO;QT_ABSTENCOES;CD_TIPO_URNA;DS_TIPO_URNA;CD_TIPO_VOTAVEL;DS_TIPO_VOTAVEL;NR_VOTAVEL;NM_VOTAVEL;QT_VOTOS;NR_URNA_EFETIVADA;CD_CARGA_1_URNA_EFETIVADA;CD_CARGA_2_URNA_EFETIVADA;CD_FLASHCARD_URNA_EFETIVADA;DT_CARGA_URNA_EFETIVADA;DS_CARGO_PERGUNTA_SECAO;DS_AGREGADAS;DT_ABERTURA;DT_ENCERRAMENTO;QT_ELEITORES_BIOMETRIA_NH;DT_EMISSAO_BU;NR_JUNTA_APURADORA;NR_TURMA_APURADORA
18/11/2020;2023-07-01T15:49:53.000Z;2020;0;Eleição Ordinária;304;15/11/2020;1;426;Eleições Municipais 2020;PR;78859;SÃO JOSÉ DOS PINHAIS;199;75;1090;11;Prefeito;18;REDE;Rede Sustentabilidade;15/11/2020 20:40:41;366;286;80;1;APURADA;1;Nominal;18;PROFESSOR MARCELO;9;1778384;155.686.196.786.144.256.;859.244;8D2B33F2;06/11/2020 16:02:00;11 - 75;#NULO#;15/11/2020 07:00:00;15/11/2020 17:18:10;0;15/11/2020 17:19:30;-1;-1
18/11/2020;2023-07-01T15:49:53.000Z;2020;0;Eleição Ordinária;304;15/11/2020;1;426;Eleições Municipais 2020;PR;78859;SÃO JOSÉ DOS PINHAIS;199;75;1090;11;Prefeito;-1;#NULO#;#NULO#;15/11/2020 20:40:41;366;286;80;1;APURADA;3;Nulo;96;Nulo;21;1778384;155.686.196.786.144.256.;859.244;8D2B33F2;06/11/2020 16:02:00;11 - 75;#NULO#;15/11/2020 07:00:00;15/11/2020 17:18:10;0;15/11/2020 17:19:30;-1;-1
18/11/2020;2023-07-01T15:49:53.000Z;2020;0;Eleição Ordinária;304;15/11/2020;1;426;Eleições Municipais 2020;PR;78859;SÃO JOSÉ DOS PINHAIS;199;75;1090;11;Prefeito;77;SOLIDARIEDADE;Solidariedade;15/11/2020 20:40:41;366;286;80;1;APURADA;1;Nominal;77;SAMUEL DANTAS;62;1778384;155.686.196.786.144.256.;859.244;8D2B33F2;06/11/2020 16:02:00;11 - 75;#NULO#;15/11/2020 07:00:00;15/11/2020 17:18:10;0;15/11/2020 17:19:30;-1;-1
18/11/2020;2023-07-01T15:49:53.000Z;2020;0;Eleição Ordinária;304;15/11/2020;1;426;Eleições Municipais 2020;PR;78859;SÃO JOSÉ DOS PINHAIS;199;75;1090;11;Prefeito;30;NOVO;Partido Novo;15/11/2020 20:40:41;366;286;80;1;APURADA;1;Nominal;30;PROFESSOR MARINHO SILVA;2;1778384;155.686.196.786.144.256.;859.244;8D2B33F2;06/11/2020 16:02:00;11 - 75;#NULO#;15/11/2020 07:00:00;15/11/2020 17:18:10;0;15/11/2020 17:19:30;-1;-1
18/11/2020;2023-07-01T15:49:53.000Z;2020;0;Eleição Ordinária;304;15/11/2020;1;426;Eleições Municipais 2020;PR;78859;SÃO JOSÉ DOS PINHAIS;199;75;1090;11;Prefeito;23;CIDADANIA;Cidadania;15/11/2020 20:40:41;366;286;80;1;APURADA;1;Nominal;23;NINA SINGER;73;1778384;155.686.196.786.144.256.;859.244;8D2B33F2;06/11/2020 16:02:00;11 - 75;#NULO#;15/11/2020 07:00:00;15/11/2020 17:18:10;0;15/11/2020 17:19:30;-1;-1
18/11/2020;2023-07-01T15:49:53.000Z;2020;0;Eleição Ordinária;304;15/11/2020;1;426;Eleições Municipais 2020;PR;78859;SÃO JOSÉ DOS PINHAIS;199;75;1090;11;Prefeito;13;PT;Partido dos Trabalhadores;15/11/2020 20:40:41;366;286;80;1;APURADA;1;Nominal;13;ADILSON STUZATA;2;1778384;155.686.196.786.144.256.;859.244;8D2B33F2;06/11/2020 16:02:00;11 - 75;#NULO#;15/11/2020 07:00:00;15/11/2020 17:18:10;0;15/11/2020 17:19:30;-1;-1
18/11/2020;2023-07-01T15:49:53.000Z;2020;0;Eleição Ordinária;304;15/11/2020;1;426;Eleições Municipais 2020;PR;78859;SÃO JOSÉ DOS PINHAIS;199;75;1090;11;Prefeito;11;PP;PROGRESSISTAS;15/11/2020 20:40:41;366;286;80;1;APURADA;1;Nominal;11;IVAN RODRIGUES;20;1778384;155.686.196.786.144.256.;859.244;8D2B33F2;06/11/2020 16:02:00;11 - 75;#NULO#;15/11/2020 07:00:00;15/11/2020 17:18:10;0;15/11/2020 17:19:30;-1;-1
18/11/2020;2023-07-01T15:49:53.000Z;2020;0;Eleição Ordinária;304;15/11/2020;1;426;Eleições Municipais 2020;PR;78859;SÃO JOSÉ DOS PINHAIS;199;75;1090;11;Prefeito;22;PL;Partido Liberal;15/11/2020 20:40:41;366;286;80;1;APURADA;1;Nominal;22;SYLVIO MONTEIRO;35;1778384;155.686.196.786.144.256.;859.244;8D2B33F2;06/11/2020 16:02:00;11 - 75;#NULO#;15/11/2020 07:00:00;15/11/2020 17:18:10;0;15/11/2020 17:19:30;-1;-1
18/11/2020;2023-07-01T15:49:53.000Z;2020;0;Eleição Ordinária;304;15/11/2020;1;426;Eleições Municipais 2020;PR;78859;SÃO JOSÉ DOS PINHAIS;199;75;1090;11;Prefeito;-1;#NULO#;#NULO#;15/11/2020 20:40:41;366;286;80;1;APURADA;2;Branco;95;Branco;15;1778384;155.686.196.786.144.256.;859.244;8D2B33F2;06/11/2020 16:02:00;11 - 75;#NULO#;15/11/2020 07:00:00;15/11/2020 17:18:10;0;15/11/2020 17:19:30;-1;-1
18/11/2020;2023-07-01T15:49:53.000Z;2020;0;Eleição Ordinária;304;15/11/2020;1;426;Eleições Municipais 2020;PR;78859;SÃO JOSÉ DOS PINHAIS;199;75;1090;11;Prefeito;10;REPUBLICANOS;REPUBLICANOS;15/11/2020 20:40:41;366;286;80;1;APURADA;1;Nominal;10;TONINHO FENELON;47;1778384;155.686.196.786.144.256.;859.244;8D2B33F2;06/11/2020 16:02:00;11 - 75;#NULO#;15/11/2020 07:00:00;15/11/2020 17:18:10;0;15/11/2020 17:19:30;-1;-1
