DT_GERACAO;HH_GERACAO;ANO_ELEICAO;CD_TIPO_ELEICAO;NM_TIPO_ELEICAO;CD_PLEITO;DT_PLEITO;NR_TURNO;CD_ELEICAO;DS_ELEICAO;SG_UF;CD_MUNICIPIO;NM_MUNICIPIO;NR_ZONA;NR_SECAO;NR_LOCAL_VOTACAO;CD_CARGO_PERGUNTA;DS_CARGO_PERGUNTA;NR_PARTIDO;SG_PARTIDO;NM_PARTIDO;DT_BU_RECEBIDO;QT_APTOS;QT_COMPARECIMENTO;QT_ABSTENCOES;CD_TIPO_URNA;DS_TIPO_URNA;CD_TIPO_VOTAVEL;DS_TIPO_VOTAVEL;NR_VOTAVEL;NM_VOTAVEL;QT_VOTOS;NR_URNA_EFETIVADA;CD_CARGA_1_URNA_EFETIVADA;CD_CARGA_2_URNA_EFETIVADA;CD_FLASHCARD_URNA_EFETIVADA;DT_CARGA_URNA_EFETIVADA;DS_CARGO_PERGUNTA_SECAO;DS_AGREGADAS;DT_ABERTURA;DT_ENCERRAMENTO;QT_ELEITORES_BIOMETRIA_NH;DT_EMISSAO_BU;NR_JUNTA_APURADORA;NR_TURMA_APURADORA
18/11/2020;2023-07-01T15:49:53.000Z;2020;0;Eleição Ordinária;304;15/11/2020;1;426;Eleições Municipais 2020;RO;299;ROLIM DE MOURA;29;185;1171;11;Prefeito;19;PODE;Podemos;15/11/2020 19:57:35;410;288;122;1;APURADA;1;Nominal;19;UENDER NOGUEIRA;59;1141670;403.453.602.871.729.114.;011.709;F3BDB798;05/11/2020 09:13:00;11 - 185;#NULO#;15/11/2020 07:08:02;15/11/2020 17:05:03;0;15/11/2020 17:06:14;-1;-1
18/11/2020;2023-07-01T15:49:53.000Z;2020;0;Eleição Ordinária;304;15/11/2020;1;426;Eleições Municipais 2020;RO;299;ROLIM DE MOURA;29;185;1171;11;Prefeito;10;REPUBLICANOS;REPUBLICANOS;15/11/2020 19:57:35;410;288;122;1;APURADA;1;Nominal;10;DR LAURO;33;1141670;403.453.602.871.729.114.;011.709;F3BDB798;05/11/2020 09:13:00;11 - 185;#NULO#;15/11/2020 07:08:02;15/11/2020 17:05:03;0;15/11/2020 17:06:14;-1;-1
18/11/2020;2023-07-01T15:49:53.000Z;2020;0;Eleição Ordinária;304;15/11/2020;1;426;Eleições Municipais 2020;RO;299;ROLIM DE MOURA;29;185;1171;11;Prefeito;15;MDB;Movimento Democrático Brasileiro;15/11/2020 19:57:35;410;288;122;1;APURADA;1;Nominal;15;ALDO JULIO;91;1141670;403.453.602.871.729.114.;011.709;F3BDB798;05/11/2020 09:13:00;11 - 185;#NULO#;15/11/2020 07:08:02;15/11/2020 17:05:03;0;15/11/2020 17:06:14;-1;-1
18/11/2020;2023-07-01T15:49:53.000Z;2020;0;Eleição Ordinária;304;15/11/2020;1;426;Eleições Municipais 2020;RO;299;ROLIM DE MOURA;29;185;1171;11;Prefeito;77;SOLIDARIEDADE;Solidariedade;15/11/2020 19:57:35;410;288;122;1;APURADA;1;Nominal;77;PROFESSOR RODNEI PAES;42;1141670;403.453.602.871.729.114.;011.709;F3BDB798;05/11/2020 09:13:00;11 - 185;#NULO#;15/11/2020 07:08:02;15/11/2020 17:05:03;0;15/11/2020 17:06:14;-1;-1
18/11/2020;2023-07-01T15:49:53.000Z;2020;0;Eleição Ordinária;304;15/11/2020;1;426;Eleições Municipais 2020;RO;299;ROLIM DE MOURA;29;185;1171;11;Prefeito;55;PSD;Partido Social Democrático;15/11/2020 19:57:35;410;288;122;1;APURADA;1;Nominal;55;RAFAEL GODOI;39;1141670;403.453.602.871.729.114.;011.709;F3BDB798;05/11/2020 09:13:00;11 - 185;#NULO#;15/11/2020 07:08:02;15/11/2020 17:05:03;0;15/11/2020 17:06:14;-1;-1
18/11/2020;2023-07-01T15:49:53.000Z;2020;0;Eleição Ordinária;304;15/11/2020;1;426;Eleições Municipais 2020;RO;299;ROLIM DE MOURA;29;185;1171;11;Prefeito;-1;#NULO#;#NULO#;15/11/2020 19:57:35;410;288;122;1;APURADA;2;Branco;95;Branco;10;1141670;403.453.602.871.729.114.;011.709;F3BDB798;05/11/2020 09:13:00;11 - 185;#NULO#;15/11/2020 07:08:02;15/11/2020 17:05:03;0;15/11/2020 17:06:14;-1;-1
18/11/2020;2023-07-01T15:49:53.000Z;2020;0;Eleição Ordinária;304;15/11/2020;1;426;Eleições Municipais 2020;RO;299;ROLIM DE MOURA;29;185;1171;11;Prefeito;-1;#NULO#;#NULO#;15/11/2020 19:57:35;410;288;122;1;APURADA;3;Nulo;96;Nulo;14;1141670;403.453.602.871.729.114.;011.709;F3BDB798;05/11/2020 09:13:00;11 - 185;#NULO#;15/11/2020 07:08:02;15/11/2020 17:05:03;0;15/11/2020 17:06:14;-1;-1
18/11/2020;2023-07-01T15:49:53.000Z;2020;0;Eleição Ordinária;304;15/11/2020;1;426;Eleições Municipais 2020;RO;299;ROLIM DE MOURA;29;189;1171;11;Prefeito;10;REPUBLICANOS;REPUBLICANOS;15/11/2020 20:42:59;410;279;131;1;APURADA;1;Nominal;10;DR LAURO;41;1013580;787.291.424.809.586.259.;015.759;F3BDB798;05/11/2020 11:52:00;11 - 189;#NULO#;15/11/2020 07:00:00;15/11/2020 17:03:50;0;15/11/2020 17:05:17;-1;-1
18/11/2020;2023-07-01T15:49:53.000Z;2020;0;Eleição Ordinária;304;15/11/2020;1;426;Eleições Municipais 2020;RO;299;ROLIM DE MOURA;29;189;1171;11;Prefeito;15;MDB;Movimento Democrático Brasileiro;15/11/2020 20:42:59;410;279;131;1;APURADA;1;Nominal;15;ALDO JULIO;101;1013580;787.291.424.809.586.259.;015.759;F3BDB798;05/11/2020 11:52:00;11 - 189;#NULO#;15/11/2020 07:00:00;15/11/2020 17:03:50;0;15/11/2020 17:05:17;-1;-1
18/11/2020;2023-07-01T15:49:53.000Z;2020;0;Eleição Ordinária;304;15/11/2020;1;426;Eleições Municipais 2020;RO;299;ROLIM DE MOURA;29;189;1171;11;Prefeito;-1;#NULO#;#NULO#;15/11/2020 20:42:59;410;279;131;1;APURADA;3;Nulo;96;Nulo;12;1013580;787.291.424.809.586.259.;015.759;F3BDB798;05/11/2020 11:52:00;11 - 189;#NULO#;15/11/2020 07:00:00;15/11/2020 17:03:50;0;15/11/2020 17:05:17;-1;-1
