DT_GERACAO;HH_GERACAO;ANO_ELEICAO;CD_TIPO_ELEICAO;NM_TIPO_ELEICAO;CD_PLEITO;DT_PLEITO;NR_TURNO;CD_ELEICAO;DS_ELEICAO;CD_MUNICIPIO;NM_MUNICIPIO;NR_ZONA;NR_SECAO;NR_LOCAL_VOTACAO;CD_CARGO_PERGUNTA;DS_CARGO_PERGUNTA;NR_PARTIDO;SG_PARTIDO;NM_PARTIDO;DT_BU_RECEBIDO;QT_APTOS;QT_COMPARECIMENTO;QT_ABSTENCOES;CD_TIPO_URNA;DS_TIPO_URNA;CD_TIPO_VOTAVEL;DS_TIPO_VOTAVEL;NR_VOTAVEL;NM_VOTAVEL;QT_VOTOS;NR_URNA_EFETIVADA;CD_CARGA_1_URNA_EFETIVADA;CD_CARGA_2_URNA_EFETIVADA;CD_FLASHCARD_URNA_EFETIVADA;DT_CARGA_URNA_EFETIVADA;DS_CARGO_PERGUNTA_SECAO;DS_AGREGADAS;DT_ABERTURA;DT_ENCERRAMENTO;QT_ELEITORES_BIOMETRIA_NH;DT_EMISSAO_BU;NR_JUNTA_APURADORA;NR_TURMA_APURADORA
18/11/2020;2023-07-01T15:49:53.000Z;2020;0;Eleição Ordinária;304;15/11/2020;1;426;Eleições Municipais 2020;3018;BOA VISTA;1;1;1015;11;Prefeito;-1;#NULO#;#NULO#;15/11/2020 20:42:32;334;243;91;1;APURADA;2;Branco;95;Branco;1;1179548;708.081.819.538.953.053.;659.291;EAE97EB5;05/11/2020 09:12:00;11 - 1;#NULO#;15/11/2020 07:00:00;15/11/2020 17:00:53;0;15/11/2020 17:02:34;-1;-1
18/11/2020;2023-07-01T15:49:53.000Z;2020;0;Eleição Ordinária;304;15/11/2020;1;426;Eleições Municipais 2020;3018;BOA VISTA;1;1;1015;11;Prefeito;11;PP;PROGRESSISTAS;15/11/2020 20:42:32;334;243;91;1;APURADA;1;Nominal;11;GERLANE;13;1179548;708.081.819.538.953.053.;659.291;EAE97EB5;05/11/2020 09:12:00;11 - 1;#NULO#;15/11/2020 07:00:00;15/11/2020 17:00:53;0;15/11/2020 17:02:34;-1;-1
18/11/2020;2023-07-01T15:49:53.000Z;2020;0;Eleição Ordinária;304;15/11/2020;1;426;Eleições Municipais 2020;3018;BOA VISTA;1;1;1015;11;Prefeito;15;MDB;Movimento Democrático Brasileiro;15/11/2020 20:42:32;334;243;91;1;APURADA;1;Nominal;15;ARTHUR HENRIQUE;106;1179548;708.081.819.538.953.053.;659.291;EAE97EB5;05/11/2020 09:12:00;11 - 1;#NULO#;15/11/2020 07:00:00;15/11/2020 17:00:53;0;15/11/2020 17:02:34;-1;-1
18/11/2020;2023-07-01T15:49:53.000Z;2020;0;Eleição Ordinária;304;15/11/2020;1;426;Eleições Municipais 2020;3018;BOA VISTA;1;1;1015;11;Prefeito;19;PODE;Podemos;15/11/2020 20:42:32;334;243;91;1;APURADA;1;Nominal;19;PR ISAMAR;4;1179548;708.081.819.538.953.053.;659.291;EAE97EB5;05/11/2020 09:12:00;11 - 1;#NULO#;15/11/2020 07:00:00;15/11/2020 17:00:53;0;15/11/2020 17:02:34;-1;-1
18/11/2020;2023-07-01T15:49:53.000Z;2020;0;Eleição Ordinária;304;15/11/2020;1;426;Eleições Municipais 2020;3018;BOA VISTA;1;1;1015;11;Prefeito;-1;#NULO#;#NULO#;15/11/2020 20:42:32;334;243;91;1;APURADA;3;Nulo;96;Nulo;5;1179548;708.081.819.538.953.053.;659.291;EAE97EB5;05/11/2020 09:12:00;11 - 1;#NULO#;15/11/2020 07:00:00;15/11/2020 17:00:53;0;15/11/2020 17:02:34;-1;-1
18/11/2020;2023-07-01T15:49:53.000Z;2020;0;Eleição Ordinária;304;15/11/2020;1;426;Eleições Municipais 2020;3018;BOA VISTA;1;1;1015;11;Prefeito;18;REDE;Rede Sustentabilidade;15/11/2020 20:42:32;334;243;91;1;APURADA;1;Nominal;18;LINOBERG;27;1179548;708.081.819.538.953.053.;659.291;EAE97EB5;05/11/2020 09:12:00;11 - 1;#NULO#;15/11/2020 07:00:00;15/11/2020 17:00:53;0;15/11/2020 17:02:34;-1;-1
18/11/2020;2023-07-01T15:49:53.000Z;2020;0;Eleição Ordinária;304;15/11/2020;1;426;Eleições Municipais 2020;3018;BOA VISTA;1;1;1015;11;Prefeito;45;PSDB;Partido da Social Democracia Brasileira;15/11/2020 20:42:32;334;243;91;1;APURADA;1;Nominal;45;SHÉRIDAN;35;1179548;708.081.819.538.953.053.;659.291;EAE97EB5;05/11/2020 09:12:00;11 - 1;#NULO#;15/11/2020 07:00:00;15/11/2020 17:00:53;0;15/11/2020 17:02:34;-1;-1
18/11/2020;2023-07-01T15:49:53.000Z;2020;0;Eleição Ordinária;304;15/11/2020;1;426;Eleições Municipais 2020;3018;BOA VISTA;1;1;1015;11;Prefeito;17;PSL;Partido Social Liberal;15/11/2020 20:42:32;334;243;91;1;APURADA;1;Nominal;17;NICOLETTI;12;1179548;708.081.819.538.953.053.;659.291;EAE97EB5;05/11/2020 09:12:00;11 - 1;#NULO#;15/11/2020 07:00:00;15/11/2020 17:00:53;0;15/11/2020 17:02:34;-1;-1
18/11/2020;2023-07-01T15:49:53.000Z;2020;0;Eleição Ordinária;304;15/11/2020;1;426;Eleições Municipais 2020;3018;BOA VISTA;1;1;1015;11;Prefeito;22;PL;Partido Liberal;15/11/2020 20:42:32;334;243;91;1;APURADA;1;Nominal;22;LUCIANO CASTRO;5;1179548;708.081.819.538.953.053.;659.291;EAE97EB5;05/11/2020 09:12:00;11 - 1;#NULO#;15/11/2020 07:00:00;15/11/2020 17:00:53;0;15/11/2020 17:02:34;-1;-1
18/11/2020;2023-07-01T15:49:53.000Z;2020;0;Eleição Ordinária;304;15/11/2020;1;426;Eleições Municipais 2020;3018;BOA VISTA;1;1;1015;11;Prefeito;77;SOLIDARIEDADE;Solidariedade;15/11/2020 20:42:32;334;243;91;1;APURADA;1;Nominal;77;OTTACI;31;1179548;708.081.819.538.953.053.;659.291;EAE97EB5;05/11/2020 09:12:00;11 - 1;#NULO#;15/11/2020 07:00:00;15/11/2020 17:00:53;0;15/11/2020 17:02:34;-1;-1
