DT_GERACAO;HH_GERACAO;ANO_ELEICAO;CD_TIPO_ELEICAO;NM_TIPO_ELEICAO;CD_PLEITO;DT_PLEITO;NR_TURNO;CD_ELEICAO;DS_ELEICAO;SG_UF;CD_MUNICIPIO;NM_MUNICIPIO;NR_ZONA;NR_SECAO;NR_LOCAL_VOTACAO;CD_CARGO_PERGUNTA;DS_CARGO_PERGUNTA;NR_PARTIDO;SG_PARTIDO;NM_PARTIDO;DT_BU_RECEBIDO;QT_APTOS;QT_COMPARECIMENTO;QT_ABSTENCOES;CD_TIPO_URNA;DS_TIPO_URNA;CD_TIPO_VOTAVEL;DS_TIPO_VOTAVEL;NR_VOTAVEL;NM_VOTAVEL;QT_VOTOS;NR_URNA_EFETIVADA;CD_CARGA_1_URNA_EFETIVADA;CD_CARGA_2_URNA_EFETIVADA;CD_FLASHCARD_URNA_EFETIVADA;DT_CARGA_URNA_EFETIVADA;DS_CARGO_PERGUNTA_SECAO;DS_AGREGADAS;DT_ABERTURA;DT_ENCERRAMENTO;QT_ELEITORES_BIOMETRIA_NH;DT_EMISSAO_BU;NR_JUNTA_APURADORA;NR_TURMA_APURADORA
18/11/2020;2023-07-01T15:49:53.000Z;2020;0;Eleição Ordinária;304;15/11/2020;1;426;Eleições Municipais 2020;RS;85995;CAXIAS DO SUL;169;270;1422;11;Prefeito;12;PDT;Partido Democrático Trabalhista;15/11/2020 18:10:49;385;297;88;1;APURADA;1;Nominal;12;EDSON NESPOLO;21;1171757;701.020.373.964.328.702.;370.033;9B96BD70;29/10/2020 11:57:00;11 - 270;#NULO#;15/11/2020 07:00:00;15/11/2020 17:00:08;0;15/11/2020 17:01:02;-1;-1
18/11/2020;2023-07-01T15:49:53.000Z;2020;0;Eleição Ordinária;304;15/11/2020;1;426;Eleições Municipais 2020;RS;85995;CAXIAS DO SUL;169;270;1422;11;Prefeito;10;REPUBLICANOS;REPUBLICANOS;15/11/2020 18:10:49;385;297;88;1;APURADA;1;Nominal;10;JULIO FREITAS;18;1171757;701.020.373.964.328.702.;370.033;9B96BD70;29/10/2020 11:57:00;11 - 270;#NULO#;15/11/2020 07:00:00;15/11/2020 17:00:08;0;15/11/2020 17:01:02;-1;-1
18/11/2020;2023-07-01T15:49:53.000Z;2020;0;Eleição Ordinária;304;15/11/2020;1;426;Eleições Municipais 2020;RS;85995;CAXIAS DO SUL;169;270;1422;11;Prefeito;25;DEM;Democratas;15/11/2020 18:10:49;385;297;88;1;APURADA;1;Nominal;25;VINICIUS RIBEIRO;13;1171757;701.020.373.964.328.702.;370.033;9B96BD70;29/10/2020 11:57:00;11 - 270;#NULO#;15/11/2020 07:00:00;15/11/2020 17:00:08;0;15/11/2020 17:01:02;-1;-1
18/11/2020;2023-07-01T15:49:53.000Z;2020;0;Eleição Ordinária;304;15/11/2020;1;426;Eleições Municipais 2020;RS;85995;CAXIAS DO SUL;169;270;1422;11;Prefeito;51;PATRIOTA;Patriota;15/11/2020 18:10:49;385;297;88;1;APURADA;1;Nominal;51;NELSON D'ARRIGO;8;1171757;701.020.373.964.328.702.;370.033;9B96BD70;29/10/2020 11:57:00;11 - 270;#NULO#;15/11/2020 07:00:00;15/11/2020 17:00:08;0;15/11/2020 17:01:02;-1;-1
18/11/2020;2023-07-01T15:49:53.000Z;2020;0;Eleição Ordinária;304;15/11/2020;1;426;Eleições Municipais 2020;RS;85995;CAXIAS DO SUL;169;270;1422;11;Prefeito;-1;#NULO#;#NULO#;15/11/2020 18:10:49;385;297;88;1;APURADA;3;Nulo;96;Nulo;26;1171757;701.020.373.964.328.702.;370.033;9B96BD70;29/10/2020 11:57:00;11 - 270;#NULO#;15/11/2020 07:00:00;15/11/2020 17:00:08;0;15/11/2020 17:01:02;-1;-1
18/11/2020;2023-07-01T15:49:53.000Z;2020;0;Eleição Ordinária;304;15/11/2020;1;426;Eleições Municipais 2020;RS;85995;CAXIAS DO SUL;169;270;1422;11;Prefeito;-1;#NULO#;#NULO#;15/11/2020 18:10:49;385;297;88;1;APURADA;2;Branco;95;Branco;25;1171757;701.020.373.964.328.702.;370.033;9B96BD70;29/10/2020 11:57:00;11 - 270;#NULO#;15/11/2020 07:00:00;15/11/2020 17:00:08;0;15/11/2020 17:01:02;-1;-1
18/11/2020;2023-07-01T15:49:53.000Z;2020;0;Eleição Ordinária;304;15/11/2020;1;426;Eleições Municipais 2020;RS;85995;CAXIAS DO SUL;169;270;1422;11;Prefeito;15;MDB;Movimento Democrático Brasileiro;15/11/2020 18:10:49;385;297;88;1;APURADA;1;Nominal;15;CARLOS BÚRIGO;16;1171757;701.020.373.964.328.702.;370.033;9B96BD70;29/10/2020 11:57:00;11 - 270;#NULO#;15/11/2020 07:00:00;15/11/2020 17:00:08;0;15/11/2020 17:01:02;-1;-1
18/11/2020;2023-07-01T15:49:53.000Z;2020;0;Eleição Ordinária;304;15/11/2020;1;426;Eleições Municipais 2020;RS;85995;CAXIAS DO SUL;169;270;1422;11;Prefeito;22;PL;Partido Liberal;15/11/2020 18:10:49;385;297;88;1;APURADA;1;Nominal;22;RENATO NUNES;2;1171757;701.020.373.964.328.702.;370.033;9B96BD70;29/10/2020 11:57:00;11 - 270;#NULO#;15/11/2020 07:00:00;15/11/2020 17:00:08;0;15/11/2020 17:01:02;-1;-1
18/11/2020;2023-07-01T15:49:53.000Z;2020;0;Eleição Ordinária;304;15/11/2020;1;426;Eleições Municipais 2020;RS;85995;CAXIAS DO SUL;169;270;1422;11;Prefeito;19;PODE;Podemos;15/11/2020 18:10:49;385;297;88;1;APURADA;1;Nominal;19;TONINHO FELDMANN;1;1171757;701.020.373.964.328.702.;370.033;9B96BD70;29/10/2020 11:57:00;11 - 270;#NULO#;15/11/2020 07:00:00;15/11/2020 17:00:08;0;15/11/2020 17:01:02;-1;-1
18/11/2020;2023-07-01T15:49:53.000Z;2020;0;Eleição Ordinária;304;15/11/2020;1;426;Eleições Municipais 2020;RS;85995;CAXIAS DO SUL;169;271;1171;11;Prefeito;22;PL;Partido Liberal;15/11/2020 17:42:06;365;286;79;1;APURADA;1;Nominal;22;RENATO NUNES;1;1149368;034.353.810.338.259.063.;464.017;24030EA4;29/10/2020 14:03:00;11 - 271;#NULO#;15/11/2020 07:00:00;15/11/2020 17:01:44;0;15/11/2020 17:03:06;-1;-1
