DT_GERACAO;HH_GERACAO;ANO_ELEICAO;CD_TIPO_ELEICAO;NM_TIPO_ELEICAO;CD_PLEITO;DT_PLEITO;NR_TURNO;CD_ELEICAO;DS_ELEICAO;SG_UF;CD_MUNICIPIO;NM_MUNICIPIO;NR_ZONA;NR_SECAO;NR_LOCAL_VOTACAO;CD_CARGO_PERGUNTA;DS_CARGO_PERGUNTA;NR_PARTIDO;SG_PARTIDO;NM_PARTIDO;DT_BU_RECEBIDO;QT_APTOS;QT_COMPARECIMENTO;QT_ABSTENCOES;CD_TIPO_URNA;DS_TIPO_URNA;CD_TIPO_VOTAVEL;DS_TIPO_VOTAVEL;NR_VOTAVEL;NM_VOTAVEL;QT_VOTOS;NR_URNA_EFETIVADA;CD_CARGA_1_URNA_EFETIVADA;CD_CARGA_2_URNA_EFETIVADA;CD_FLASHCARD_URNA_EFETIVADA;DT_CARGA_URNA_EFETIVADA;DS_CARGO_PERGUNTA_SECAO;DS_AGREGADAS;DT_ABERTURA;DT_ENCERRAMENTO;QT_ELEITORES_BIOMETRIA_NH;DT_EMISSAO_BU;NR_JUNTA_APURADORA;NR_TURMA_APURADORA
18/11/2020;2023-07-01T15:49:53.000Z;2020;0;Eleição Ordinária;304;15/11/2020;1;426;Eleições Municipais 2020;SC;81795;JOINVILLE;105;264;1082;11;Prefeito;13;PT;Partido dos Trabalhadores;15/11/2020 21:01:07;359;244;115;1;APURADA;1;Nominal;13;ASSIS;9;1845835;796.943.836.712.563.017.;984.900;CE1454DC;09/11/2020 14:56:00;11 - 264;#NULO#;15/11/2020 07:10:51;15/11/2020 17:02:08;0;15/11/2020 17:03:59;-1;-1
18/11/2020;2023-07-01T15:49:53.000Z;2020;0;Eleição Ordinária;304;15/11/2020;1;426;Eleições Municipais 2020;SC;81795;JOINVILLE;105;264;1082;11;Prefeito;36;PTC;Partido Trabalhista Cristão;15/11/2020 21:01:07;359;244;115;1;APURADA;1;Nominal;36;EDUARDO ZIMMERMANN;8;1845835;796.943.836.712.563.017.;984.900;CE1454DC;09/11/2020 14:56:00;11 - 264;#NULO#;15/11/2020 07:10:51;15/11/2020 17:02:08;0;15/11/2020 17:03:59;-1;-1
18/11/2020;2023-07-01T15:49:53.000Z;2020;0;Eleição Ordinária;304;15/11/2020;1;426;Eleições Municipais 2020;SC;81795;JOINVILLE;105;264;1082;11;Prefeito;12;PDT;Partido Democrático Trabalhista;15/11/2020 21:01:07;359;244;115;1;APURADA;1;Nominal;12;JAMES SCHROEDER;1;1845835;796.943.836.712.563.017.;984.900;CE1454DC;09/11/2020 14:56:00;11 - 264;#NULO#;15/11/2020 07:10:51;15/11/2020 17:02:08;0;15/11/2020 17:03:59;-1;-1
18/11/2020;2023-07-01T15:49:53.000Z;2020;0;Eleição Ordinária;304;15/11/2020;1;426;Eleições Municipais 2020;SC;81795;JOINVILLE;105;264;1082;11;Prefeito;10;REPUBLICANOS;REPUBLICANOS;15/11/2020 21:01:07;359;244;115;1;APURADA;1;Nominal;10;MARCUCCI;5;1845835;796.943.836.712.563.017.;984.900;CE1454DC;09/11/2020 14:56:00;11 - 264;#NULO#;15/11/2020 07:10:51;15/11/2020 17:02:08;0;15/11/2020 17:03:59;-1;-1
18/11/2020;2023-07-01T15:49:53.000Z;2020;0;Eleição Ordinária;304;15/11/2020;1;426;Eleições Municipais 2020;SC;81795;JOINVILLE;105;264;1082;11;Prefeito;-1;#NULO#;#NULO#;15/11/2020 21:01:07;359;244;115;1;APURADA;2;Branco;95;Branco;14;1845835;796.943.836.712.563.017.;984.900;CE1454DC;09/11/2020 14:56:00;11 - 264;#NULO#;15/11/2020 07:10:51;15/11/2020 17:02:08;0;15/11/2020 17:03:59;-1;-1
18/11/2020;2023-07-01T15:49:53.000Z;2020;0;Eleição Ordinária;304;15/11/2020;1;426;Eleições Municipais 2020;SC;81795;JOINVILLE;105;264;1082;11;Prefeito;15;MDB;Movimento Democrático Brasileiro;15/11/2020 21:01:07;359;244;115;1;APURADA;1;Nominal;15;FERNANDO KRELLING;38;1845835;796.943.836.712.563.017.;984.900;CE1454DC;09/11/2020 14:56:00;11 - 264;#NULO#;15/11/2020 07:10:51;15/11/2020 17:02:08;0;15/11/2020 17:03:59;-1;-1
18/11/2020;2023-07-01T15:49:53.000Z;2020;0;Eleição Ordinária;304;15/11/2020;1;426;Eleições Municipais 2020;SC;81795;JOINVILLE;105;264;1082;11;Prefeito;17;PSL;Partido Social Liberal;15/11/2020 21:01:07;359;244;115;1;APURADA;1;Nominal;17;DOUTOR DALMO;11;1845835;796.943.836.712.563.017.;984.900;CE1454DC;09/11/2020 14:56:00;11 - 264;#NULO#;15/11/2020 07:10:51;15/11/2020 17:02:08;0;15/11/2020 17:03:59;-1;-1
18/11/2020;2023-07-01T15:49:53.000Z;2020;0;Eleição Ordinária;304;15/11/2020;1;426;Eleições Municipais 2020;SC;81795;JOINVILLE;105;264;1082;11;Prefeito;-1;#NULO#;#NULO#;15/11/2020 21:01:07;359;244;115;1;APURADA;3;Nulo;96;Nulo;18;1845835;796.943.836.712.563.017.;984.900;CE1454DC;09/11/2020 14:56:00;11 - 264;#NULO#;15/11/2020 07:10:51;15/11/2020 17:02:08;0;15/11/2020 17:03:59;-1;-1
18/11/2020;2023-07-01T15:49:53.000Z;2020;0;Eleição Ordinária;304;15/11/2020;1;426;Eleições Municipais 2020;SC;81795;JOINVILLE;105;264;1082;11;Prefeito;50;PSOL;Partido Socialismo e Liberdade;15/11/2020 21:01:07;359;244;115;1;APURADA;1;Nominal;50;MAYARA COLZANI;5;1845835;796.943.836.712.563.017.;984.900;CE1454DC;09/11/2020 14:56:00;11 - 264;#NULO#;15/11/2020 07:10:51;15/11/2020 17:02:08;0;15/11/2020 17:03:59;-1;-1
18/11/2020;2023-07-01T15:49:53.000Z;2020;0;Eleição Ordinária;304;15/11/2020;1;426;Eleições Municipais 2020;SC;81795;JOINVILLE;105;264;1082;11;Prefeito;70;AVANTE;AVANTE;15/11/2020 21:01:07;359;244;115;1;APURADA;1;Nominal;70;ANELISIO DA ASSESSORITEC;16;1845835;796.943.836.712.563.017.;984.900;CE1454DC;09/11/2020 14:56:00;11 - 264;#NULO#;15/11/2020 07:10:51;15/11/2020 17:02:08;0;15/11/2020 17:03:59;-1;-1
