DT_GERACAO;HH_GERACAO;ANO_ELEICAO;CD_TIPO_ELEICAO;NM_TIPO_ELEICAO;CD_PLEITO;DT_PLEITO;NR_TURNO;CD_ELEICAO;DS_ELEICAO;CD_MUNICIPIO;NM_MUNICIPIO;NR_ZONA;NR_SECAO;NR_LOCAL_VOTACAO;CD_CARGO_PERGUNTA;DS_CARGO_PERGUNTA;NR_PARTIDO;SG_PARTIDO;NM_PARTIDO;DT_BU_RECEBIDO;QT_APTOS;QT_COMPARECIMENTO;QT_ABSTENCOES;CD_TIPO_URNA;DS_TIPO_URNA;CD_TIPO_VOTAVEL;DS_TIPO_VOTAVEL;NR_VOTAVEL;NM_VOTAVEL;QT_VOTOS;NR_URNA_EFETIVADA;CD_CARGA_1_URNA_EFETIVADA;CD_CARGA_2_URNA_EFETIVADA;CD_FLASHCARD_URNA_EFETIVADA;DT_CARGA_URNA_EFETIVADA;DS_CARGO_PERGUNTA_SECAO;DS_AGREGADAS;DT_ABERTURA;DT_ENCERRAMENTO;QT_ELEITORES_BIOMETRIA_NH;DT_EMISSAO_BU;NR_JUNTA_APURADORA;NR_TURMA_APURADORA
18/11/2020;2023-07-01T15:49:53.000Z;2020;0;Eleição Ordinária;304;15/11/2020;1;426;Eleições Municipais 2020;31054;ARACAJU;27;313;1627;11;Prefeito;25;DEM;Democratas;15/11/2020 18:35:05;416;271;145;1;APURADA;1;Nominal;25;GEORLIZE;12;1028801;346.725.010.245.290.708.;477.034;E796F29D;09/11/2020 13:11:00;11 - 313;#NULO#;15/11/2020 07:00:00;15/11/2020 17:02:32;0;15/11/2020 17:04:18;-1;-1
18/11/2020;2023-07-01T15:49:53.000Z;2020;0;Eleição Ordinária;304;15/11/2020;1;426;Eleições Municipais 2020;31054;ARACAJU;27;313;1627;11;Prefeito;12;PDT;Partido Democrático Trabalhista;15/11/2020 18:35:05;416;271;145;1;APURADA;1;Nominal;12;EDVALDO;109;1028801;346.725.010.245.290.708.;477.034;E796F29D;09/11/2020 13:11:00;11 - 313;#NULO#;15/11/2020 07:00:00;15/11/2020 17:02:32;0;15/11/2020 17:04:18;-1;-1
18/11/2020;2023-07-01T15:49:53.000Z;2020;0;Eleição Ordinária;304;15/11/2020;1;426;Eleições Municipais 2020;31054;ARACAJU;27;313;1627;11;Prefeito;23;CIDADANIA;Cidadania;15/11/2020 18:35:05;416;271;145;1;APURADA;1;Nominal;23;DELEGADA DANIELLE;41;1028801;346.725.010.245.290.708.;477.034;E796F29D;09/11/2020 13:11:00;11 - 313;#NULO#;15/11/2020 07:00:00;15/11/2020 17:02:32;0;15/11/2020 17:04:18;-1;-1
18/11/2020;2023-07-01T15:49:53.000Z;2020;0;Eleição Ordinária;304;15/11/2020;1;426;Eleições Municipais 2020;31054;ARACAJU;27;313;1627;11;Prefeito;50;PSOL;Partido Socialismo e Liberdade;15/11/2020 18:35:05;416;271;145;1;APURADA;1;Nominal;50;ALEXIS PEDRÃO;13;1028801;346.725.010.245.290.708.;477.034;E796F29D;09/11/2020 13:11:00;11 - 313;#NULO#;15/11/2020 07:00:00;15/11/2020 17:02:32;0;15/11/2020 17:04:18;-1;-1
18/11/2020;2023-07-01T15:49:53.000Z;2020;0;Eleição Ordinária;304;15/11/2020;1;426;Eleições Municipais 2020;31054;ARACAJU;27;313;1627;11;Prefeito;-1;#NULO#;#NULO#;15/11/2020 18:35:05;416;271;145;1;APURADA;2;Branco;95;Branco;12;1028801;346.725.010.245.290.708.;477.034;E796F29D;09/11/2020 13:11:00;11 - 313;#NULO#;15/11/2020 07:00:00;15/11/2020 17:02:32;0;15/11/2020 17:04:18;-1;-1
18/11/2020;2023-07-01T15:49:53.000Z;2020;0;Eleição Ordinária;304;15/11/2020;1;426;Eleições Municipais 2020;31054;ARACAJU;27;313;1627;11;Prefeito;13;PT;Partido dos Trabalhadores;15/11/2020 18:35:05;416;271;145;1;APURADA;1;Nominal;13;MÁRCIO MACEDO;27;1028801;346.725.010.245.290.708.;477.034;E796F29D;09/11/2020 13:11:00;11 - 313;#NULO#;15/11/2020 07:00:00;15/11/2020 17:02:32;0;15/11/2020 17:04:18;-1;-1
18/11/2020;2023-07-01T15:49:53.000Z;2020;0;Eleição Ordinária;304;15/11/2020;1;426;Eleições Municipais 2020;31054;ARACAJU;27;313;1627;11;Prefeito;35;PMB;Partido da Mulher Brasileira;15/11/2020 18:35:05;416;271;145;1;APURADA;1;Nominal;35;JURACI NUNES;1;1028801;346.725.010.245.290.708.;477.034;E796F29D;09/11/2020 13:11:00;11 - 313;#NULO#;15/11/2020 07:00:00;15/11/2020 17:02:32;0;15/11/2020 17:04:18;-1;-1
18/11/2020;2023-07-01T15:49:53.000Z;2020;0;Eleição Ordinária;304;15/11/2020;1;426;Eleições Municipais 2020;31054;ARACAJU;27;313;1627;11;Prefeito;14;PTB;Partido Trabalhista Brasileiro;15/11/2020 18:35:05;416;271;145;1;APURADA;1;Nominal;14;RODRIGO VALADARES;19;1028801;346.725.010.245.290.708.;477.034;E796F29D;09/11/2020 13:11:00;11 - 313;#NULO#;15/11/2020 07:00:00;15/11/2020 17:02:32;0;15/11/2020 17:04:18;-1;-1
18/11/2020;2023-07-01T15:49:53.000Z;2020;0;Eleição Ordinária;304;15/11/2020;1;426;Eleições Municipais 2020;31054;ARACAJU;27;313;1627;11;Prefeito;70;AVANTE;AVANTE;15/11/2020 18:35:05;416;271;145;1;APURADA;1;Nominal;70;LÚCIO FLÁVIO;19;1028801;346.725.010.245.290.708.;477.034;E796F29D;09/11/2020 13:11:00;11 - 313;#NULO#;15/11/2020 07:00:00;15/11/2020 17:02:32;0;15/11/2020 17:04:18;-1;-1
18/11/2020;2023-07-01T15:49:53.000Z;2020;0;Eleição Ordinária;304;15/11/2020;1;426;Eleições Municipais 2020;31054;ARACAJU;27;313;1627;11;Prefeito;-1;#NULO#;#NULO#;15/11/2020 18:35:05;416;271;145;1;APURADA;3;Nulo;96;Nulo;18;1028801;346.725.010.245.290.708.;477.034;E796F29D;09/11/2020 13:11:00;11 - 313;#NULO#;15/11/2020 07:00:00;15/11/2020 17:02:32;0;15/11/2020 17:04:18;-1;-1
